policy,successes_observed_mean,successes_observed_median,success_rate_observed_mean,success_rate_observed_median,total_runtime_observed_mean,total_runtime_observed_median,total_cost_observed_mean,total_cost_observed_median,final_oracle_pulls_mean,final_oracle_pulls_median,final_oracle_pull_share_mean,final_oracle_pull_share_median,first_oracle_pull_t_mean,first_oracle_pull_t_median,first_oracle_3_pulls_t_mean,first_oracle_3_pulls_t_median,first_oracle_5_pulls_t_mean,first_oracle_5_pulls_t_median,first_oracle_10_pulls_t_mean,first_oracle_10_pulls_t_median,first_oracle_empirical_leader_t_mean,first_oracle_empirical_leader_t_median,stable_oracle_empirical_leader_t_mean,stable_oracle_empirical_leader_t_median,first_oracle_e_leader_0_5_t_mean,first_oracle_e_leader_0_5_t_median,stable_oracle_e_leader_0_5_t_mean,stable_oracle_e_leader_0_5_t_median,first_oracle_policy_score_leader_t_mean,first_oracle_policy_score_leader_t_median,stable_oracle_policy_score_leader_t_mean,stable_oracle_policy_score_leader_t_median,first_oracle_most_pulled_t_mean,first_oracle_most_pulled_t_median,stable_oracle_most_pulled_t_mean,stable_oracle_most_pulled_t_median,first_oracle_eprocess_beats_runner_up_t_mean,first_oracle_eprocess_beats_runner_up_t_median,first_oracle_cs_best_certified_t_mean,first_oracle_cs_best_certified_t_median,first_oracle_empirical_leader_tasks_saved_mean,first_oracle_empirical_leader_tasks_saved_median,first_oracle_empirical_leader_observed_cost_saved_mean,first_oracle_empirical_leader_observed_cost_saved_median,stable_oracle_empirical_leader_tasks_saved_mean,stable_oracle_empirical_leader_tasks_saved_median,stable_oracle_empirical_leader_observed_cost_saved_mean,stable_oracle_empirical_leader_observed_cost_saved_median,first_oracle_e_leader_0_5_tasks_saved_mean,first_oracle_e_leader_0_5_tasks_saved_median,first_oracle_e_leader_0_5_observed_cost_saved_mean,first_oracle_e_leader_0_5_observed_cost_saved_median,stable_oracle_e_leader_0_5_tasks_saved_mean,stable_oracle_e_leader_0_5_tasks_saved_median,stable_oracle_e_leader_0_5_observed_cost_saved_mean,stable_oracle_e_leader_0_5_observed_cost_saved_median,first_oracle_policy_score_leader_tasks_saved_mean,first_oracle_policy_score_leader_tasks_saved_median,first_oracle_policy_score_leader_observed_cost_saved_mean,first_oracle_policy_score_leader_observed_cost_saved_median,stable_oracle_policy_score_leader_tasks_saved_mean,stable_oracle_policy_score_leader_tasks_saved_median,stable_oracle_policy_score_leader_observed_cost_saved_mean,stable_oracle_policy_score_leader_observed_cost_saved_median,first_oracle_eprocess_beats_runner_up_tasks_saved_mean,first_oracle_eprocess_beats_runner_up_tasks_saved_median,first_oracle_eprocess_beats_runner_up_observed_cost_saved_mean,first_oracle_eprocess_beats_runner_up_observed_cost_saved_median,first_oracle_cs_best_certified_tasks_saved_mean,first_oracle_cs_best_certified_tasks_saved_median,first_oracle_cs_best_certified_observed_cost_saved_mean,first_oracle_cs_best_certified_observed_cost_saved_median,first_successes_35_t_mean,first_successes_35_t_median,first_successes_40_t_mean,first_successes_40_t_median,first_successes_43_t_mean,first_successes_43_t_median,first_successes_50_t_mean,first_successes_50_t_median,first_successes_60_t_mean,first_successes_60_t_median,first_successes_80_t_mean,first_successes_80_t_median,first_oracle_eprocess_beats_runner_up_t_rate,first_oracle_cs_best_certified_t_rate,stable_oracle_empirical_leader_t_rate,stable_oracle_policy_score_leader_t_rate
spruce,50.333333333333336,55.0,0.3145833333333333,0.34375,17216.366666666665,16679.699999999997,5.702088700000001,5.635264799999999,8.333333333333334,8.0,0.052083333333333336,0.05,18.0,18.0,44.0,44.0,76.66666666666667,68.0,,,60.5,60.5,160.0,160.0,60.5,60.5,,,59.333333333333336,56.0,160.0,160.0,75.0,75.0,,,,,,,99.5,99.5,3.434168175,3.434168175,0.0,0.0,0.0,0.0,99.5,99.5,3.434168175,3.434168175,,,,,100.66666666666667,104.0,3.4787727000000017,3.4565577,0.0,0.0,0.0,0.0,,,,,,,,,95.0,67.0,141.66666666666666,133.0,143.0,143.0,152.0,152.0,,,,,0.0,0.0,0.3333333333333333,0.3333333333333333
uniform,44.666666666666664,43.0,0.2791666666666666,0.26875,12915.733333333328,14455.499999999996,4.246380149999999,4.623357899999999,8.0,8.0,0.05000000000000001,0.05,18.0,18.0,54.0,54.0,90.0,90.0,,,64.33333333333333,65.0,108.66666666666667,127.0,64.33333333333333,65.0,,,,,,,,,,,,,,,95.66666666666667,95.0,2.148678049999999,2.932812749999999,51.333333333333336,33.0,0.724154799999999,0.7899073499999973,95.66666666666667,95.0,2.148678049999999,2.932812749999999,,,,,,,,,,,,,,,,,,,,,106.0,106.0,117.0,117.0,146.5,146.5,148.0,148.0,,,,,0.0,0.0,1.0,0.0
