base_run_id,policy,replicate,budget,observed_timesteps,complete,contiguous,true_best_arm,successes_observed,success_rate_observed,total_runtime_observed,total_cost_observed,final_oracle_pulls,final_oracle_pull_share,final_oracle_successes,final_oracle_success_rate,first_oracle_pull_t,first_oracle_3_pulls_t,first_oracle_5_pulls_t,first_oracle_10_pulls_t,first_oracle_empirical_leader_t,stable_oracle_empirical_leader_t,first_oracle_e_leader_0_5_t,stable_oracle_e_leader_0_5_t,first_oracle_policy_score_leader_t,stable_oracle_policy_score_leader_t,first_oracle_most_pulled_t,stable_oracle_most_pulled_t,first_oracle_eprocess_beats_runner_up_t,first_oracle_cs_best_certified_t,first_oracle_empirical_leader_tasks_saved,first_oracle_empirical_leader_cost_at_decision,first_oracle_empirical_leader_runtime_at_decision,first_oracle_empirical_leader_successes_at_decision,first_oracle_empirical_leader_observed_cost_saved,first_oracle_empirical_leader_projected_final_successes_if_commit_oracle,stable_oracle_empirical_leader_tasks_saved,stable_oracle_empirical_leader_cost_at_decision,stable_oracle_empirical_leader_runtime_at_decision,stable_oracle_empirical_leader_successes_at_decision,stable_oracle_empirical_leader_observed_cost_saved,stable_oracle_empirical_leader_projected_final_successes_if_commit_oracle,first_oracle_e_leader_0_5_tasks_saved,first_oracle_e_leader_0_5_cost_at_decision,first_oracle_e_leader_0_5_runtime_at_decision,first_oracle_e_leader_0_5_successes_at_decision,first_oracle_e_leader_0_5_observed_cost_saved,first_oracle_e_leader_0_5_projected_final_successes_if_commit_oracle,stable_oracle_e_leader_0_5_tasks_saved,stable_oracle_e_leader_0_5_cost_at_decision,stable_oracle_e_leader_0_5_runtime_at_decision,stable_oracle_e_leader_0_5_successes_at_decision,stable_oracle_e_leader_0_5_observed_cost_saved,stable_oracle_e_leader_0_5_projected_final_successes_if_commit_oracle,first_oracle_policy_score_leader_tasks_saved,first_oracle_policy_score_leader_cost_at_decision,first_oracle_policy_score_leader_runtime_at_decision,first_oracle_policy_score_leader_successes_at_decision,first_oracle_policy_score_leader_observed_cost_saved,first_oracle_policy_score_leader_projected_final_successes_if_commit_oracle,stable_oracle_policy_score_leader_tasks_saved,stable_oracle_policy_score_leader_cost_at_decision,stable_oracle_policy_score_leader_runtime_at_decision,stable_oracle_policy_score_leader_successes_at_decision,stable_oracle_policy_score_leader_observed_cost_saved,stable_oracle_policy_score_leader_projected_final_successes_if_commit_oracle,first_oracle_eprocess_beats_runner_up_tasks_saved,first_oracle_eprocess_beats_runner_up_cost_at_decision,first_oracle_eprocess_beats_runner_up_runtime_at_decision,first_oracle_eprocess_beats_runner_up_successes_at_decision,first_oracle_eprocess_beats_runner_up_observed_cost_saved,first_oracle_eprocess_beats_runner_up_projected_final_successes_if_commit_oracle,first_oracle_cs_best_certified_tasks_saved,first_oracle_cs_best_certified_cost_at_decision,first_oracle_cs_best_certified_runtime_at_decision,first_oracle_cs_best_certified_successes_at_decision,first_oracle_cs_best_certified_observed_cost_saved,first_oracle_cs_best_certified_projected_final_successes_if_commit_oracle,first_successes_35_t,tasks_saved_after_successes_35,first_successes_40_t,tasks_saved_after_successes_40,first_successes_43_t,tasks_saved_after_successes_43,first_successes_50_t,tasks_saved_after_successes_50,first_successes_60_t,tasks_saved_after_successes_60,first_successes_80_t,tasks_saved_after_successes_80
gitlab_strong_allocation_spruce_budget160_rep0_trial0_2026-07-02T00-55-23Z,spruce,0,160,160,True,True,gitlab_oracle_operator,56,0.35,16679.699999999997,5.635264799999999,8,0.05,4,0.5,18,44,67,,44.0,,44.0,,56.0,,75.0,,,,116.0,1.7669896499999993,3723.800000000001,27.0,3.8682751499999997,128.5,,,,,,,116.0,1.7669896499999993,3723.800000000001,27.0,3.8682751499999997,128.5,,,,,,,104.0,2.178707099999999,5134.600000000001,29.0,3.4565577,120.0,,,,,,,,,,,,,,,,,,,67.0,93.0,133.0,27.0,143.0,17.0,151.0,9.0,,,,
gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-01T19-50-27Z,uniform,0,160,160,True,True,gitlab_oracle_operator,43,0.26875,14455.499999999996,4.623357899999999,8,0.05,4,0.5,18,54,90,,62.0,134.0,62.0,,,,,,,,98.0,1.6905451500000002,4863.6,25.0,2.932812749999999,110.75,26.0,3.833450550000002,12466.499999999998,28.0,0.7899073499999973,50.75,98.0,1.6905451500000002,4863.6,25.0,2.932812749999999,110.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.0,11.0,155.0,5.0,160.0,0.0,,,,,,
gitlab_strong_allocation_spruce_budget160_rep1_trial0_2026-07-02T12-22-26Z,spruce,1,160,160,True,True,gitlab_oracle_operator,40,0.25,19103.6,5.8584621000000014,8,0.05,3,0.375,18,44,95,,,,,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,2.5579532999999994,8058.6,23.0,3.300508800000002,105.25,,,,,,,,,,,,,,,,,,,151.0,9.0,160.0,0.0,,,,,,,,
gitlab_strong_allocation_uniform_budget160_rep1_trial0_2026-07-02T06-33-24Z,uniform,1,160,160,True,True,gitlab_oracle_operator,58,0.3625,17302.7,5.549078549999999,8,0.05,5,0.625,18,54,90,,66.0,127.0,66.0,,,,,,,,94.0,2.2585701000000005,6183.200000000002,35.0,3.2905084499999986,117.25,33.0,4.389234449999999,14308.500000000002,40.0,1.1598441,68.875,94.0,2.2585701000000005,6183.200000000002,35.0,3.2905084499999986,117.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,97.0,79.0,81.0,133.0,27.0,148.0,12.0,,,,
gitlab_strong_allocation_spruce_budget160_rep2_trial0_2026-07-02T21-04-00Z,spruce,2,160,160,True,True,gitlab_oracle_operator,55,0.34375,15865.800000000001,5.612539200000002,9,0.05625,5,0.5555555555555556,18,44,68,,77.0,160.0,77.0,,56.0,160.0,,,,,83.0,2.6124780000000016,6769.100000000001,37.0,3.0000612000000006,109.625,0.0,5.612539200000002,15865.800000000001,55.0,0.0,55.0,83.0,2.6124780000000016,6769.100000000001,37.0,3.0000612000000006,109.625,,,,,,,104.0,1.9332876000000003,4588.3,31.0,3.679251600000002,122.0,0.0,5.612539200000002,15865.800000000001,55.0,0.0,55.0,,,,,,,,,,,,,67.0,93.0,132.0,28.0,143.0,17.0,153.0,7.0,,,,
gitlab_strong_allocation_uniform_budget160_rep2_trial0_2026-07-02T18-43-33Z,uniform,2,160,160,True,True,gitlab_oracle_operator,33,0.20625,6988.999999999984,2.566704,8,0.05,4,0.5,18,54,90,,65.0,65.0,65.0,,,,,,,,95.0,2.3439910500000005,6310.199999999999,30.0,0.22271294999999958,113.125,95.0,2.3439910500000005,6310.199999999999,30.0,0.22271294999999958,113.125,95.0,2.3439910500000005,6310.199999999999,30.0,0.22271294999999958,113.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
