split,env,T,cap,base_seed,n_replicates,policy,name,alpha,c,K0,recommender,mean_regret,se,mean_q,mean_regret_disc,mean_regret_sel,mean_mu_star,mean_k_final,mean_search_frac,cap_hit_frac,mean_n_demoted,mean_regret_posterior_mean_shrunk,mean_regret_lcb,mean_regret_posterior_mean,mean_regret_empirical,mean_regret_oracle_prior,seconds
tune,beta_good_common,1000,64,1013000,500,refine_after_init,refine_after_init_K2,0.0,2.0,2,posterior_mean_shrunk,0.19242992049455643,0.005048242201796864,0.8004286981225014,0.1919645225405693,0.0004653979539871216,0.9928586186170578,2.0,0.0,0.0,-1.0,0.19242992049455643,0.19242992049455643,0.19242992049455643,0.19242992049455643,0.19242992049455643,0.28384879196528345
tune,beta_good_common,1000,64,1013000,500,refine_after_init,refine_after_init_K4,0.0,4.0,4,posterior_mean_shrunk,0.12625189626216887,0.0034276017487228304,0.8666067223548889,0.12520610558986664,0.001045790672302246,0.9928586186170578,4.0,0.0020040080160320635,0.0,-1.0,0.12625189626216887,0.12625189626216887,0.12625189626216887,0.12625189626216887,0.12625189626216887,0.28678766696248204
tune,beta_good_common,1000,64,1013000,500,refine_after_init,refine_after_init_K8,0.0,8.0,8,posterior_mean_shrunk,0.08159649395942688,0.0021402602405608015,0.9112621246576309,0.08009796905517579,0.0014985249042510987,0.9928586186170578,8.0,0.006012024048096194,0.0,-1.0,0.08159649395942688,0.0816760071516037,0.08159649395942688,0.08159649395942688,0.08159649395942688,0.3029239169554785
tune,beta_rare_excellent,1000,64,1058000,500,power,power_a0.2500_c0.25,0.25,0.25,-1,posterior_mean_shrunk,0.4107140174591914,0.005020221341492057,0.1476887812530622,0.41018097663391384,0.0005330408252775669,0.5584027987122536,2.0,0.0,0.0,-1.0,0.4107140174591914,0.4107140174591914,0.4107140174591914,0.4107140174591914,0.4107140174591914,0.26176937494892627
tune,beta_rare_excellent,1000,64,1058000,500,power,power_a0.2500_c0.278133,0.25,0.278132869,-1,posterior_mean_shrunk,0.4107140174591914,0.005020221341492057,0.1476887812530622,0.41018097663391384,0.0005330408252775669,0.5584027987122536,2.0,0.0,0.0,-1.0,0.4107140174591914,0.4107140174591914,0.4107140174591914,0.4107140174591914,0.4107140174591914,0.2500842090230435
tune,beta_rare_excellent,1000,64,1058000,500,power,power_a0.2500_c0.309432,0.25,0.3094315713,-1,posterior_mean_shrunk,0.4107140174591914,0.005020221341492057,0.1476887812530622,0.41018097663391384,0.0005330408252775669,0.5584027987122536,2.0,0.0,0.0,-1.0,0.4107140174591914,0.4107140174591914,0.4107140174591914,0.4107140174591914,0.4107140174591914,0.25856962497346103
tune,beta_rare_excellent,1000,64,1058000,500,power,power_a0.2500_c0.344252,0.25,0.3442523628,-1,posterior_mean_shrunk,0.4107140174591914,0.005020221341492057,0.1476887812530622,0.41018097663391384,0.0005330408252775669,0.5584027987122536,2.0,0.0,0.0,-1.0,0.4107140174591914,0.4107140174591914,0.4107140174591914,0.4107140174591914,0.4107140174591914,0.2752454170258716
tune,beta_rare_excellent,1000,64,1058000,500,power,power_a0.2500_c0.382992,0.25,0.3829915893,-1,posterior_mean_shrunk,0.38467268928326664,0.00501054676196287,0.1737301094289869,0.3833527555093169,0.0013199337739497423,0.5584027987122536,3.0,0.0010020040080160318,0.0,-1.0,0.38467268928326664,0.3848417295534164,0.3846161992046982,0.38467268928326664,0.38466512454487384,0.2776881669415161
tune,beta_rare_excellent,1000,64,1058000,500,power,power_a0.2500_c0.42609,0.25,0.4260901982,-1,posterior_mean_shrunk,0.38464127053134145,0.004998812880329002,0.17376152818091214,0.3833527555093169,0.0012885150220245123,0.5584027987122536,3.0,0.0010020040080160318,0.0,-1.0,0.38464127053134145,0.38464127053134145,0.38464127053134145,0.38464127053134145,0.38464127053134145,0.2741759999189526
tune,beta_rare_excellent,1000,64,1058000,500,power,power_a0.2500_c0.474039,0.25,0.4740387572,-1,posterior_mean_shrunk,0.3844972623344511,0.0049950294944862755,0.17390553637780248,0.3833527555093169,0.001144506825134158,0.5584027987122536,3.0,0.0010020040080160318,0.0,-1.0,0.3844972623344511,0.3844972623344511,0.3844972623344511,0.3844972623344511,0.3844972623344511,0.2754727080464363
