diagnostic,key,value
simpson_slope_q3_minus_q1,T=100|t23,
simpson_n,T=200|pooled|q1,5784.0
simpson_p_search,T=200|pooled|q1,0.6780774550484094
simpson_n,T=200|pooled|q2,5792.0
simpson_p_search,T=200|pooled|q2,0.5925414364640884
simpson_n,T=200|pooled|q3,5799.0
simpson_p_search,T=200|pooled|q3,0.5840662183135024
simpson_slope_q3_minus_q1,T=200|pooled,-0.09401123673490708
simpson_n,T=200|aggressive|q1,0.0
simpson_p_search,T=200|aggressive|q1,
simpson_n,T=200|aggressive|q2,1.0
simpson_p_search,T=200|aggressive|q2,1.0
simpson_n,T=200|aggressive|q3,1570.0
simpson_p_search,T=200|aggressive|q3,0.44140127388535033
simpson_slope_q3_minus_q1,T=200|aggressive,
simpson_n,T=200|bracket|q1,1802.0
simpson_p_search,T=200|bracket|q1,0.7613762486126526
simpson_n,T=200|bracket|q2,326.0
simpson_p_search,T=200|bracket|q2,0.8282208588957055
simpson_n,T=200|bracket|q3,216.0
simpson_p_search,T=200|bracket|q3,0.7870370370370371
simpson_slope_q3_minus_q1,T=200|bracket,0.025660788424384462
simpson_n,T=200|cbrt|q1,1438.0
simpson_p_search,T=200|cbrt|q1,0.6223922114047288
simpson_n,T=200|cbrt|q2,600.0
simpson_p_search,T=200|cbrt|q2,0.735
simpson_n,T=200|cbrt|q3,312.0
simpson_p_search,T=200|cbrt|q3,0.8205128205128205
simpson_slope_q3_minus_q1,T=200|cbrt,0.1981206091080917
simpson_n,T=200|conservative|q1,1691.0
simpson_p_search,T=200|conservative|q1,0.7131874630396215
simpson_n,T=200|conservative|q2,525.0
simpson_p_search,T=200|conservative|q2,0.7923809523809524
simpson_n,T=200|conservative|q3,155.0
simpson_p_search,T=200|conservative|q3,0.9419354838709677
simpson_slope_q3_minus_q1,T=200|conservative,0.22874802083134615
simpson_n,T=200|epsilon|q1,0.0
simpson_p_search,T=200|epsilon|q1,
simpson_n,T=200|epsilon|q2,1583.0
simpson_p_search,T=200|epsilon|q2,0.4845230574857865
simpson_n,T=200|epsilon|q3,833.0
simpson_p_search,T=200|epsilon|q3,0.673469387755102
simpson_slope_q3_minus_q1,T=200|epsilon,
simpson_n,T=200|random|q1,0.0
simpson_p_search,T=200|random|q1,
simpson_n,T=200|random|q2,0.0
simpson_p_search,T=200|random|q2,
simpson_n,T=200|random|q3,1578.0
simpson_p_search,T=200|random|q3,0.4524714828897338
simpson_slope_q3_minus_q1,T=200|random,
simpson_n,T=200|sqrt|q1,853.0
simpson_p_search,T=200|sqrt|q1,0.5263774912075029
simpson_n,T=200|sqrt|q2,1155.0
simpson_p_search,T=200|sqrt|q2,0.6718614718614718
simpson_n,T=200|sqrt|q3,351.0
simpson_p_search,T=200|sqrt|q3,0.8319088319088319
simpson_slope_q3_minus_q1,T=200|sqrt,0.30553134070132903
simpson_n,T=200|t23|q1,0.0
simpson_p_search,T=200|t23|q1,
simpson_n,T=200|t23|q2,1602.0
simpson_p_search,T=200|t23|q2,0.47503121098626716
simpson_n,T=200|t23|q3,784.0
simpson_p_search,T=200|t23|q3,0.7079081632653061
simpson_slope_q3_minus_q1,T=200|t23,
simpson_n,T=500|pooled|q1,5102.0
simpson_p_search,T=500|pooled|q1,0.7655821246569973
simpson_n,T=500|pooled|q2,5097.0
simpson_p_search,T=500|pooled|q2,0.6772611340003923
simpson_n,T=500|pooled|q3,5106.0
simpson_p_search,T=500|pooled|q3,0.6713670191931062
simpson_slope_q3_minus_q1,T=500|pooled,-0.09421510546389111
simpson_n,T=500|aggressive|q1,0.0
simpson_p_search,T=500|aggressive|q1,
simpson_n,T=500|aggressive|q2,0.0
simpson_p_search,T=500|aggressive|q2,
simpson_n,T=500|aggressive|q3,636.0
simpson_p_search,T=500|aggressive|q3,0.5770440251572327
simpson_slope_q3_minus_q1,T=500|aggressive,
simpson_n,T=500|bracket|q1,2049.0
simpson_p_search,T=500|bracket|q1,0.8731088335773548
simpson_n,T=500|bracket|q2,194.0
simpson_p_search,T=500|bracket|q2,0.8608247422680413
simpson_n,T=500|bracket|q3,160.0
simpson_p_search,T=500|bracket|q3,0.9125
simpson_slope_q3_minus_q1,T=500|bracket,0.039391166422645174
simpson_n,T=500|cbrt|q1,1583.0
simpson_p_search,T=500|cbrt|q1,0.7264687302590019
simpson_n,T=500|cbrt|q2,536.0
simpson_p_search,T=500|cbrt|q2,0.8675373134328358
simpson_n,T=500|cbrt|q3,248.0
simpson_p_search,T=500|cbrt|q3,0.9153225806451613
simpson_slope_q3_minus_q1,T=500|cbrt,0.18885385038615932
simpson_n,T=500|conservative|q1,862.0
simpson_p_search,T=500|conservative|q1,0.7088167053364269
simpson_n,T=500|conservative|q2,1458.0
simpson_p_search,T=500|conservative|q2,0.7249657064471879
simpson_n,T=500|conservative|q3,132.0
simpson_p_search,T=500|conservative|q3,0.8636363636363636
simpson_slope_q3_minus_q1,T=500|conservative,0.1548196582999367
simpson_n,T=500|epsilon|q1,0.0
simpson_p_search,T=500|epsilon|q1,
simpson_n,T=500|epsilon|q2,149.0
simpson_p_search,T=500|epsilon|q2,0.5167785234899329
