policy,replicate,budget,timestep,cumulative_regret
uniform,1,160,115,37.85
uniform,1,160,116,38.225
uniform,1,160,117,38.5
uniform,1,160,118,38.95
uniform,1,160,119,39.25
uniform,1,160,120,39.625
uniform,1,160,121,40.025
uniform,1,160,122,40.3
uniform,1,160,123,40.65
uniform,1,160,124,41.074999999999996
uniform,1,160,125,41.3
uniform,1,160,126,41.3
uniform,1,160,127,41.5
uniform,1,160,128,41.85
uniform,1,160,129,42.25
uniform,1,160,130,42.925
uniform,1,160,131,43.25
uniform,1,160,132,43.575
uniform,1,160,133,43.75
uniform,1,160,134,44.125
uniform,1,160,135,44.4
uniform,1,160,136,44.85
uniform,1,160,137,45.15
uniform,1,160,138,45.525
uniform,1,160,139,45.925
uniform,1,160,140,46.199999999999996
uniform,1,160,141,46.55
uniform,1,160,142,46.974999999999994
uniform,1,160,143,47.199999999999996
uniform,1,160,144,47.199999999999996
uniform,1,160,145,47.4
uniform,1,160,146,47.75
uniform,1,160,147,48.15
uniform,1,160,148,48.824999999999996
uniform,1,160,149,49.15
uniform,1,160,150,49.475
uniform,1,160,151,49.65
uniform,1,160,152,50.025
uniform,1,160,153,50.3
uniform,1,160,154,50.75
uniform,1,160,155,51.05
uniform,1,160,156,51.425
uniform,1,160,157,51.824999999999996
uniform,1,160,158,52.099999999999994
uniform,1,160,159,52.449999999999996
uniform,1,160,160,52.87499999999999
spruce,1,160,1,0.19999999999999996
spruce,1,160,2,0.5499999999999999
spruce,1,160,3,0.95
spruce,1,160,4,1.625
spruce,1,160,5,1.95
spruce,1,160,6,2.275
spruce,1,160,7,2.45
spruce,1,160,8,2.825
spruce,1,160,9,3.1
spruce,1,160,10,3.5500000000000003
spruce,1,160,11,3.8500000000000005
spruce,1,160,12,4.2250000000000005
spruce,1,160,13,4.625000000000001
spruce,1,160,14,4.900000000000001
spruce,1,160,15,5.250000000000001
spruce,1,160,16,5.675000000000001
spruce,1,160,17,5.9
spruce,1,160,18,5.9
spruce,1,160,19,6.1000000000000005
spruce,1,160,20,6.45
spruce,1,160,21,6.8500000000000005
spruce,1,160,22,7.525
spruce,1,160,23,7.8500000000000005
spruce,1,160,24,8.175
spruce,1,160,25,8.350000000000001
spruce,1,160,26,8.725000000000001
spruce,1,160,27,9.000000000000002
spruce,1,160,28,9.450000000000001
spruce,1,160,29,9.750000000000002
spruce,1,160,30,10.125000000000002
spruce,1,160,31,10.525000000000002
spruce,1,160,32,10.800000000000002
spruce,1,160,33,11.150000000000002
spruce,1,160,34,11.575000000000003
spruce,1,160,35,11.800000000000002
spruce,1,160,36,11.800000000000002
spruce,1,160,37,12.000000000000002
spruce,1,160,38,12.325000000000001
spruce,1,160,39,12.600000000000001
spruce,1,160,40,13.000000000000002
spruce,1,160,41,13.225000000000001
spruce,1,160,42,13.900000000000002
spruce,1,160,43,14.200000000000003
spruce,1,160,44,14.200000000000003
spruce,1,160,45,14.575000000000003
spruce,1,160,46,14.925000000000002
spruce,1,160,47,15.275000000000002
spruce,1,160,48,15.550000000000002
spruce,1,160,49,15.950000000000003
spruce,1,160,50,16.375000000000004
spruce,1,160,51,16.825000000000003
spruce,1,160,52,17.150000000000002
spruce,1,160,53,17.325000000000003
spruce,1,160,54,17.700000000000003
spruce,1,160,55,18.025000000000002
spruce,1,160,56,18.200000000000003
spruce,1,160,57,18.650000000000002
spruce,1,160,58,19.025000000000002
spruce,1,160,59,19.375000000000004
spruce,1,160,60,19.800000000000004
spruce,1,160,61,20.150000000000006
spruce,1,160,62,20.825000000000006
spruce,1,160,63,21.200000000000006
spruce,1,160,64,21.475000000000005
spruce,1,160,65,21.700000000000006
spruce,1,160,66,21.700000000000006
spruce,1,160,67,21.975000000000005
spruce,1,160,68,22.300000000000004
spruce,1,160,69,22.475000000000005
spruce,1,160,70,22.925000000000004
spruce,1,160,71,23.300000000000004
spruce,1,160,72,23.650000000000006
spruce,1,160,73,24.075000000000006
spruce,1,160,74,24.350000000000005
spruce,1,160,75,24.550000000000004
spruce,1,160,76,24.950000000000003
spruce,1,160,77,25.275000000000002
spruce,1,160,78,25.575000000000003
spruce,1,160,79,25.975
spruce,1,160,80,26.25
spruce,1,160,81,26.575
spruce,1,160,82,26.75
spruce,1,160,83,27.2
spruce,1,160,84,27.575
spruce,1,160,85,27.925
spruce,1,160,86,28.35
spruce,1,160,87,28.75
spruce,1,160,88,29.075
spruce,1,160,89,29.375
spruce,1,160,90,29.65
spruce,1,160,91,30.0
spruce,1,160,92,30.675
spruce,1,160,93,31.05
