policy,budget,n_arms,success_rate_mean,success_rate_se,regret_mean,regret_se,identification_probability,final_entropy_mean,final_normalized_entropy_mean,best_arm_pull_share_mean,total_runtime_mean,total_token_cost_mean,cost_per_success_mean
spruce,160,18,0.3145833333333333,0.03234203061720838,53.35,0.3224257020358861,0.0,2.8773600591719095,0.9954982611877837,0.052083333333333336,17216.366666666665,5.702088700000001,0.11637914944805196
uniform,160,18,0.2791666666666666,0.04540519732854869,52.87499999999999,0.0,0.0,2.889727541463246,0.9997771164103169,0.05000000000000001,12915.733333333328,4.246380149999999,0.09365754278571602
