policy,replicate,budget,n_arms,true_best_arm,successes,success_rate,cumulative_regret,final_entropy,final_normalized_entropy,best_arm_pull_share,identified_true_best,identification_time,total_runtime,total_token_cost,cost_per_success
uniform,0,160,18,gitlab_oracle_operator,43,0.26875,52.87499999999999,2.889727541463246,0.9997771164103169,0.05,False,,14455.499999999996,4.623357899999999,0.10751995116279069
spruce,0,160,18,gitlab_oracle_operator,56,0.35,53.975,2.878198826478969,0.9957884547605544,0.05,False,,16679.699999999997,5.635264799999999,0.10062972857142856
uniform,1,160,18,gitlab_oracle_operator,58,0.3625,52.87499999999999,2.889727541463246,0.9997771164103169,0.05,False,,17302.7,5.549078549999999,0.09567376810344826
spruce,1,160,18,gitlab_oracle_operator,40,0.25,52.9,2.876054106322241,0.9950464325100018,0.05,False,,19103.6,5.8584621000000014,0.14646155250000004
uniform,2,160,18,gitlab_oracle_operator,33,0.20625,52.87499999999999,2.889727541463246,0.9997771164103169,0.05,False,,6988.999999999984,2.566704,0.07777890909090909
spruce,2,160,18,gitlab_oracle_operator,55,0.34375,53.175,2.877827244714518,0.9956598962927947,0.05625,False,,15865.800000000001,5.612539200000002,0.10204616727272732
