policy,budget,n_arms,success_rate_mean,success_rate_se,regret_mean,regret_se,identification_probability,final_entropy_mean,final_normalized_entropy_mean,best_arm_pull_share_mean,total_runtime_mean,total_token_cost_mean,cost_per_success_mean
spruce_fast,160,13,0.6,0.0,66.04999999999998,0.0,0.0,1.924864642143456,0.7504493749726288,0.01875,12912.399999999996,5.863782150000001,0.061081064062500016
uniform,160,13,0.43125,0.0,52.324999999999996,0.0,0.0,2.5642532854519273,0.999728621538829,0.075,9286.999999999995,4.28441265,0.06209293695652174
