policy,replicate,budget,n_arms,task,timestep,selected_arm,reward,cumulative_successes,cumulative_success_rate,instantaneous_regret,cumulative_regret,current_most_pulled_arm,true_best_arm,selected_true_best,entropy,normalized_entropy,best_arm_pull_share,runtime,cost,cumulative_runtime,cumulative_cost,global_log_e,log_path
uniform,0,160,13,task_e14,14,baseline,1.0,9,0.6428571428571429,0.19999999999999996,4.425000000000001,baseline,gitlab_oracle_operator,False,2.5400363038209806,0.9902871167541444,0.07142857142857142,18.1,0.0179184,905.6000000000001,0.45122999999999996,0.03774032798284699,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_e15,15,planner,1.0,10,0.6666666666666666,0.35,4.775,,gitlab_oracle_operator,False,2.5232109529528914,0.9837273962594129,0.06666666666666667,37.3,0.0215994,942.9000000000001,0.47282939999999996,0.07410797215372211,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_e16,16,cautious,1.0,11,0.6875,0.4,5.175000000000001,,gitlab_oracle_operator,False,2.5126585295298014,0.9796133097990339,0.0625,42.7,0.02102835,985.6000000000001,0.49385775,0.109199291964992,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_e17,17,explorer,1.0,12,0.7058823529411765,0.675,5.8500000000000005,,gitlab_oracle_operator,False,2.5070264355574183,0.9774175183086488,0.058823529411764705,68.3,0.03179295,1053.9,0.5256507,0.109199291964992,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_e18,18,balanced,1.0,13,0.7222222222222222,0.32499999999999996,6.175000000000001,,gitlab_oracle_operator,False,2.5052899909184174,0.9767405284749315,0.05555555555555555,60.2,0.0327579,1114.1000000000001,0.5584086,0.14310084364067333,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_e19,19,overthinker,0.0,13,0.6842105263157895,0.32499999999999996,6.500000000000001,,gitlab_oracle_operator,False,2.5066618124970015,0.9772753622620367,0.05263157894736842,180.0,0.07030635,1294.1000000000001,0.62871495,0.14310084364067333,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_e20,20,rapid,0.0,13,0.65,0.17500000000000004,6.675000000000001,,gitlab_oracle_operator,False,2.510529247162029,0.978783163830819,0.05,162.5,0.04954499999999999,1456.6000000000001,0.67825995,0.109199291964992,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_m1,21,verifier,1.0,14,0.6666666666666666,0.375,7.050000000000001,,gitlab_oracle_operator,False,2.516410300153941,0.9810760172841644,0.047619047619047616,22.3,0.01988115,1478.9,0.6981411,0.109199291964992,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_m2,22,exploratory,1.0,15,0.6818181818181818,0.275,7.325000000000001,,gitlab_oracle_operator,False,2.523922032900179,0.984004625883935,0.045454545454545456,51.2,0.03145695,1530.1000000000001,0.72959805,0.14310084364067333,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_m3,23,algorithmic,1.0,16,0.6956521739130435,0.45,7.775000000000001,,gitlab_oracle_operator,False,2.532757537181371,0.9874493349404664,0.043478260869565216,18.3,0.017614949999999997,1548.4,0.747213,0.14310084364067333,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_m4,24,junior_reactive,1.0,17,0.7083333333333334,0.30000000000000004,8.075000000000001,,gitlab_oracle_operator,False,2.5426689148346626,0.9913134960883109,0.041666666666666664,101.2,0.04995735,1649.6000000000001,0.79717035,0.17589066646366414,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_m5,25,domain_expert,0.0,17,0.68,0.375,8.450000000000001,,gitlab_oracle_operator,False,2.5534545315306536,0.9955184979003799,0.04,180.0,0.0427767,1829.6000000000001,0.83994705,0.17589066646366414,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_m6,26,gitlab_oracle_operator,1.0,18,0.6923076923076923,0.0,8.450000000000001,,gitlab_oracle_operator,True,2.564949357461537,1.0000000000000002,0.07692307692307693,19.5,0.017172,1849.1000000000001,0.85711905,0.2076393647782444,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_m7,27,baseline,0.0,18,0.6666666666666666,0.19999999999999996,8.65,baseline,gitlab_oracle_operator,False,2.5576380067656985,0.9971495145997448,0.07407407407407407,81.1,0.034786050000000006,1930.2,0.8919051,0.15963014559188382,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_m8,28,planner,0.0,18,0.6428571428571429,0.35,9.0,,gitlab_oracle_operator,False,2.5521719493063664,0.9950184559714599,0.07142857142857142,59.3,0.0099063,1989.5,0.9018114,0.109199291964992,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_m9,29,cautious,0.0,18,0.6206896551724138,0.4,9.4,,gitlab_oracle_operator,False,2.5483146503584777,0.9935146060273401,0.06896551724137931,180.0,0.04609799999999999,2169.5,0.9479094,0.05608946665104364,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_m10,30,explorer,0.0,18,0.6,0.675,10.075000000000001,,gitlab_oracle_operator,False,2.5458641578589445,0.9925592294650681,0.06666666666666667,180.0,0.07573905,2349.5,1.02364845,0.05608946665104364,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_m11,31,balanced,0.0,18,0.5806451612903226,0.32499999999999996,10.4,,gitlab_oracle_operator,False,2.544647229679315,0.9920847841602946,0.06451612903225806,180.0,0.06136005,2529.5,1.0850085,0.0,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_m12,32,overthinker,0.0,18,0.5625,0.32499999999999996,10.725,,gitlab_oracle_operator,False,2.544514598928939,0.9920330752444868,0.0625,157.0,0.034132800000000005,2686.5,1.1191413000000001,0.0,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_m13,33,rapid,1.0,19,0.5757575757575758,0.17500000000000004,10.9,,gitlab_oracle_operator,False,2.5453371302922485,0.9923537565713586,0.06060606060606061,52.5,0.05244315,2739.0,1.17158445,0.0,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_m14,34,verifier,0.0,19,0.5588235294117647,0.375,11.275,,gitlab_oracle_operator,False,2.547002679509277,0.9930031063186288,0.058823529411764705,180.0,0.0458532,2919.0,1.2174376500000001,0.0,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_m15,35,exploratory,0.0,19,0.5428571428571428,0.275,11.55,,gitlab_oracle_operator,False,2.549413511817456,0.9939430205127106,0.05714285714285714,20.6,0.01922355,2939.6,1.2366612000000001,-0.059423420470800625,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_m16,36,algorithmic,0.0,19,0.5277777777777778,0.45,12.0,,gitlab_oracle_operator,False,2.552484167806028,0.9951401809867134,0.05555555555555555,88.0,0.01844175,3027.6,1.2551029500000002,-0.059423420470800625,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_m17,37,junior_reactive,0.0,19,0.5135135135135135,0.30000000000000004,12.3,,gitlab_oracle_operator,False,2.556139689717538,0.9965653638663973,0.05405405405405406,30.7,0.02424525,3058.2999999999997,1.2793482000000003,-0.12260232209233246,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_m18,38,domain_expert,0.0,19,0.5,0.375,12.675,,gitlab_oracle_operator,False,2.5603141399060743,0.9981928619596413,0.05263157894736842,180.0,0.06388005000000001,3238.2999999999997,1.3432282500000003,-0.12260232209233246,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_m19,39,gitlab_oracle_operator,1.0,20,0.5128205128205128,0.0,12.675,,gitlab_oracle_operator,True,2.564949357461537,1.0000000000000002,0.07692307692307693,22.7,0.0196263,3260.9999999999995,1.3628545500000004,-0.059423420470800625,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_m20,40,baseline,1.0,21,0.525,0.19999999999999996,12.875,baseline,gitlab_oracle_operator,False,2.5614989582006484,0.9986547885435434,0.075,18.7,0.018269550000000002,3279.6999999999994,1.3811241000000005,-0.03869828432232558,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_e1,41,planner,1.0,22,0.5365853658536586,0.35,13.225,,gitlab_oracle_operator,False,2.5588266907285337,0.9976129482965456,0.07317073170731707,17.2,0.0183036,3296.899999999999,1.3994277000000006,-0.018393972556532967,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_e2,42,cautious,1.0,23,0.5476190476190477,0.4,13.625,,gitlab_oracle_operator,False,2.5568624517718925,0.9968471480085488,0.07142857142857142,22.9,0.021821999999999998,3319.7999999999993,1.4212497000000006,0.0015062649765749114,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_e3,43,explorer,1.0,24,0.5581395348837209,0.675,14.3,,gitlab_oracle_operator,False,2.5555433349503716,0.9963328622907105,0.06976744186046512,14.0,0.013764450000000001,3333.7999999999993,1.4350141500000007,0.0015062649765749114,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_e4,44,balanced,0.0,24,0.5454545454545454,0.32499999999999996,14.625,,gitlab_oracle_operator,False,2.5548127668629785,0.9960480348007377,0.06818181818181818,180.0,0.0425685,3513.7999999999993,1.4775826500000007,-0.018393972556532967,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_e5,45,overthinker,0.0,24,0.5333333333333333,0.32499999999999996,14.95,,gitlab_oracle_operator,False,2.5546197624612605,0.9959727879343009,0.06666666666666667,180.0,0.06881925,3693.7999999999993,1.5464019000000007,-0.018393972556532967,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_e6,46,rapid,1.0,25,0.5434782608695652,0.17500000000000004,15.125,,gitlab_oracle_operator,False,2.5549182811112057,0.9960891717720858,0.06521739130434782,111.5,0.06745319999999999,3805.2999999999993,1.6138551000000008,-0.004561007847273979,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_e7,47,verifier,1.0,26,0.5531914893617021,0.375,15.5,,gitlab_oracle_operator,False,2.5556666679683957,0.9963809462880281,0.06382978723404255,35.1,0.02450685,3840.399999999999,1.6383619500000008,-0.004561007847273979,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_e8,48,exploratory,1.0,27,0.5625,0.275,15.775,,gitlab_oracle_operator,False,2.5568271679009458,0.9968333918418455,0.0625,17.6,0.0166764,3857.999999999999,1.6550383500000008,0.015068511225949877,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
