policy,replicate,budget,timestep,cumulative_regret
spruce_fast,0,160,28,9.200000000000001
spruce_fast,0,160,29,9.4
spruce_fast,0,160,30,9.4
spruce_fast,0,160,31,9.725
spruce_fast,0,160,32,10.1
spruce_fast,0,160,33,10.275
spruce_fast,0,160,34,10.575000000000001
spruce_fast,0,160,35,10.850000000000001
spruce_fast,0,160,36,11.250000000000002
spruce_fast,0,160,37,11.700000000000001
spruce_fast,0,160,38,12.375000000000002
spruce_fast,0,160,39,12.700000000000001
spruce_fast,0,160,40,13.075000000000001
spruce_fast,0,160,41,13.450000000000001
spruce_fast,0,160,42,13.825000000000001
spruce_fast,0,160,43,14.200000000000001
spruce_fast,0,160,44,14.575000000000001
spruce_fast,0,160,45,14.950000000000001
spruce_fast,0,160,46,15.325000000000001
spruce_fast,0,160,47,15.700000000000001
spruce_fast,0,160,48,16.075000000000003
spruce_fast,0,160,49,16.450000000000003
spruce_fast,0,160,50,16.825000000000003
spruce_fast,0,160,51,17.200000000000003
spruce_fast,0,160,52,17.575000000000003
spruce_fast,0,160,53,17.975
spruce_fast,0,160,54,18.650000000000002
spruce_fast,0,160,55,19.325000000000003
spruce_fast,0,160,56,20.000000000000004
spruce_fast,0,160,57,20.675000000000004
spruce_fast,0,160,58,21.350000000000005
spruce_fast,0,160,59,22.025000000000006
spruce_fast,0,160,60,22.700000000000006
spruce_fast,0,160,61,23.375000000000007
spruce_fast,0,160,62,24.050000000000008
spruce_fast,0,160,63,24.72500000000001
spruce_fast,0,160,64,25.40000000000001
spruce_fast,0,160,65,26.07500000000001
spruce_fast,0,160,66,26.75000000000001
spruce_fast,0,160,67,27.42500000000001
spruce_fast,0,160,68,28.100000000000012
spruce_fast,0,160,69,28.775000000000013
spruce_fast,0,160,70,29.450000000000014
spruce_fast,0,160,71,30.125000000000014
spruce_fast,0,160,72,30.800000000000015
spruce_fast,0,160,73,31.250000000000014
spruce_fast,0,160,74,31.575000000000014
spruce_fast,0,160,75,31.950000000000014
spruce_fast,0,160,76,32.32500000000002
spruce_fast,0,160,77,32.725000000000016
spruce_fast,0,160,78,33.05000000000002
spruce_fast,0,160,79,33.50000000000002
spruce_fast,0,160,80,33.90000000000002
spruce_fast,0,160,81,34.30000000000002
spruce_fast,0,160,82,34.70000000000002
spruce_fast,0,160,83,35.100000000000016
spruce_fast,0,160,84,35.500000000000014
spruce_fast,0,160,85,35.90000000000001
spruce_fast,0,160,86,36.30000000000001
spruce_fast,0,160,87,36.70000000000001
spruce_fast,0,160,88,37.10000000000001
spruce_fast,0,160,89,37.50000000000001
spruce_fast,0,160,90,37.900000000000006
spruce_fast,0,160,91,38.300000000000004
spruce_fast,0,160,92,38.7
spruce_fast,0,160,93,39.1
spruce_fast,0,160,94,39.5
spruce_fast,0,160,95,39.9
spruce_fast,0,160,96,40.3
spruce_fast,0,160,97,40.699999999999996
spruce_fast,0,160,98,41.099999999999994
spruce_fast,0,160,99,41.49999999999999
spruce_fast,0,160,100,41.89999999999999
spruce_fast,0,160,101,42.29999999999999
spruce_fast,0,160,102,42.69999999999999
spruce_fast,0,160,103,43.09999999999999
spruce_fast,0,160,104,43.499999999999986
spruce_fast,0,160,105,43.899999999999984
spruce_fast,0,160,106,44.29999999999998
spruce_fast,0,160,107,44.69999999999998
spruce_fast,0,160,108,45.09999999999998
spruce_fast,0,160,109,45.49999999999998
spruce_fast,0,160,110,45.94999999999998
spruce_fast,0,160,111,46.274999999999984
spruce_fast,0,160,112,46.67499999999998
spruce_fast,0,160,113,47.34999999999998
spruce_fast,0,160,114,48.02499999999998
spruce_fast,0,160,115,48.34999999999998
spruce_fast,0,160,116,48.79999999999998
spruce_fast,0,160,117,49.17499999999998
spruce_fast,0,160,118,49.54999999999998
spruce_fast,0,160,119,49.92499999999998
spruce_fast,0,160,120,50.374999999999986
spruce_fast,0,160,121,50.69999999999999
spruce_fast,0,160,122,51.07499999999999
spruce_fast,0,160,123,51.44999999999999
spruce_fast,0,160,124,51.82499999999999
spruce_fast,0,160,125,52.19999999999999
spruce_fast,0,160,126,52.52499999999999
spruce_fast,0,160,127,52.974999999999994
spruce_fast,0,160,128,53.37499999999999
spruce_fast,0,160,129,53.77499999999999
spruce_fast,0,160,130,54.17499999999999
spruce_fast,0,160,131,54.57499999999999
spruce_fast,0,160,132,54.97499999999999
