test,cell,policy,env_id,family,horizon,cap,n_on,n_corpus,corpus_scope,n_features,n_features_nonclock,knn_applicable,ood_frac,knn_dist_median,knn_threshold,n_features_standardizable,domain_auc,ood_frac_all,knn_threshold_all,n_features_standardizable_all,domain_auc_all,clock_confounded,domain_auc_CLOCK,domain_auc_QUALITY,domain_auc_EVIDENCE,domain_auc_HISTORY,max_frac_outside,mean_frac_outside,mean_abs_std_shift,max_abs_std_shift,max_ks,worst_feature_by_ks,corpus_score_kind
A,beta_good_common_T100_cap64,phi_k16_quality,beta_good_common,A,100,64,3072,19968,same_horizon,35,24,True,0.052408854166666664,0.8850048305538232,1.67653074554178,24,0.965547607421875,0.10319010416666667,1.9087718309596509,34,0.9909742431640626,True,0.9591877441406249,0.965547607421875,,,0.041666666666666664,0.007161458333333332,0.5601112522515487,1.1298879566421125,0.7521534455128205,f_K_over_sqrt_t,oof
A,beta_good_common_T100_cap64,rule_reservoir,beta_good_common,A,100,64,3072,19968,same_horizon,7,5,True,0.5065104166666666,0.4373075539646732,0.42711657140859954,5,0.9410695393880208,0.6878255208333334,0.642404538402728,7,0.9833260498046874,True,0.9653802490234376,0.9299920654296875,0.718400146484375,,0.5,0.07775297619047618,0.6591915950372693,1.8451769295275053,0.7587640224358975,est_beta_a,none
A,beta_good_common_T200_cap64,phi_k16,beta_good_common,A,200,64,3072,18127,same_horizon,62,51,True,0.010416666666666666,1.466820420378977,2.9774729525839776,51,0.988393310546875,0.039713541666666664,3.208893160446289,61,0.9888487955729166,True,0.8587529703776042,0.95890478515625,0.9798866373697916,,0.08333333333333333,0.014275663642473117,0.5526387630503329,1.1549024343081253,0.7143757520721852,f_n_singletons,oof
A,beta_good_common_T200_cap64,phi_k16_all71,beta_good_common,A,200,64,3072,18127,same_horizon,71,60,True,0.3317057291666667,3.2120835603219184,3.599019124800427,60,0.99967529296875,0.3567708333333333,3.8094549484871836,70,0.9997957356770832,True,0.8576042073567708,0.9640610351562499,0.9809054361979166,0.9076107584635417,0.083984375,0.01584048562206573,0.531564747673342,1.5390441120698748,0.7169799187388518,f_n_singletons,oof
A,beta_good_common_T200_cap64,phi_k16_clock,beta_good_common,A,200,64,3072,18127,same_horizon,11,0,False,,,,0,,0.8333333333333334,0.1449188594876812,10,0.9801925862630209,True,0.9801925862630209,,,,0.2916666666666667,0.06818181818181818,1.1845907249617789,2.485075078818814,0.8644011695261212,f_K_over_sqrt_t,oof
A,beta_good_common_T200_cap64,phi_k16_cs,beta_good_common,A,200,64,3072,18127,same_horizon,61,50,True,0.010416666666666666,1.4074688853877166,2.9060234416912087,50,0.9868343912760417,0.039388020833333336,3.134038086641085,60,0.9875535481770834,True,0.8607237548828125,0.9549496256510415,0.9800648600260417,,0.08333333333333333,0.014434981215846993,0.5581857725023514,1.1516620826665231,0.7143757520721852,f_n_singletons,oof
A,beta_good_common_T200_cap64,phi_k16_quality,beta_good_common,A,200,64,3072,18127,same_horizon,35,24,True,0.039388020833333336,0.8171814181189998,1.7722743296162324,24,0.9535818684895834,0.08365885416666667,2.0267648425743876,34,0.9804432779947917,True,0.9334242757161458,0.9535818684895834,,,0.08333333333333333,0.013727678571428571,0.5277791047657416,1.141857973443475,0.7046101270721852,f_n_singletons,oof
A,beta_good_common_T200_cap64,rule_reservoir,beta_good_common,A,200,64,3072,18127,same_horizon,7,5,True,0.2828776041666667,0.16017303220204054,0.4506078472812906,5,0.9150840657552083,0.5149739583333334,0.6835983234229537,7,0.9784293619791666,True,0.9463614095052084,0.9135237223307292,0.5547955322265625,,0.7083333333333334,0.10718936011904763,0.6028962131994884,1.9624437694395787,0.779176090914106,f_log_K,none
A,beta_good_common_T500_cap64,phi_k16,beta_good_common,A,500,64,3072,15763,same_horizon,62,51,True,0.0013020833333333333,1.517993517465863,3.166935125124793,51,0.9927613118489582,0.00390625,3.3989600579300236,61,0.9927080891927083,True,0.8946220703125,0.981652099609375,0.9839813639322917,,0.050130208333333336,0.01084719422043011,0.7139069129818686,2.182243274138779,0.8633893576928567,f_n_singletons,oof
A,beta_good_common_T500_cap64,phi_k16_all71,beta_good_common,A,500,64,3072,15763,same_horizon,71,60,True,0.3444010416666667,3.5110834390606382,3.9158917719231416,60,0.9995227864583334,0.4339192708333333,4.120769094355526,70,0.9996460774739583,True,0.9158374837239583,0.987833251953125,0.9850774739583333,0.8914428304036457,0.21256510416666666,0.024166483274647887,0.6818215634677393,2.647072838084599,0.8643659201928567,f_n_singletons,oof
A,beta_good_common_T500_cap64,phi_k16_clock,beta_good_common,A,500,64,3072,15763,same_horizon,11,0,False,,,,0,,0.9583333333333334,0.17043725447925767,10,0.99451220703125,True,0.99451220703125,,,,0.875,0.2916666666666667,1.3104042287306648,2.841142286712407,0.9135951278309966,f_K_over_sqrt_t,oof
A,beta_good_common_T500_cap64,phi_k16_cs,beta_good_common,A,500,64,3072,15763,same_horizon,61,50,True,0.0,1.4346524339345157,3.071631190858902,50,0.9910970865885417,0.0035807291666666665,3.296919479269911,60,0.9920943196614583,True,0.8924645182291667,0.9807888997395834,0.9820512695312499,,0.0498046875,0.010992998633879782,0.7250564661611815,2.177837077230543,0.8633893576928567,f_n_singletons,oof
A,beta_good_common_T500_cap64,phi_k16_quality,beta_good_common,A,500,64,3072,15763,same_horizon,35,24,True,0.001953125,0.7786100929327742,1.9037272009146153,24,0.9797935384114584,0.052734375,2.1802267570118126,34,0.9845061848958334,True,0.8599307047526041,0.9797935384114584,,,0.091796875,0.019168526785714284,0.7220378221463739,1.9143368181687561,0.8503685243595234,f_n_singletons,oof
A,beta_good_common_T500_cap64,rule_reservoir,beta_good_common,A,500,64,3072,15763,same_horizon,7,5,True,0.12532552083333334,0.13272293871282065,0.5014118376227157,5,0.8763286946614582,0.13606770833333334,0.7316034848118386,7,0.98653076171875,True,0.97231787109375,0.8723221028645833,0.7217558186848958,,0.875,0.13095238095238096,0.708736660577617,1.794625505535455,0.9101323775085115,f_log_K,none
