policy,reference,level,test,family,horizon,cell,env_id,cap,source_test,delta,lo,hi,se,win,n_cells,n_episodes,n_envs,cluster_lo,cluster_hi,cluster_se,cluster_p,cluster_p_sign,cluster_boot_t_lo,cluster_boot_t_hi,cluster_pct_lo,cluster_pct_hi,cluster_min_env,cluster_max_env,cluster_degenerate,cluster_method,regret,regret_ref,k_final,k_final_deployed,k_final_ref,search_frac,search_frac_ref
phi_k4,uniform,horizon,C,all,100,,all,matched,,-0.0040592896193265915,-0.005822501540432373,-0.0023204383902251735,0.0008841289977235584,0.5126666666666667,3,6000,3,,,,,,,,,,-0.0056067191511392596,-0.0018803660422563554,True,range,0.11122086593260368,0.11528015555193027,34.41783333333333,36.446666666666665,36.66283333333333,0.33079421768707484,0.35370238095238093
phi_k4,uniform,horizon,C,all,200,,all,matched,,-0.0007125395188728968,-0.0015039421753336986,5.573906513551845e-05,0.0004010877974016817,0.5017499999999999,3,6000,3,,,,,,,,,,-0.0014950695782899857,-0.0001894949972629547,True,range,0.07393254561225572,0.07464508513112862,63.867,63.867,64.0,0.312459595959596,0.31313131313131315
phi_k1,always_search,cell,A,A,100,beta_good_common_T100_cap29,beta_good_common,29,capmatch,0.0006315455436706542,-0.000452382224798202,0.0017557341113686557,0.0005638904266246729,0.49674999999999997,1,2000,1,,,,,,,,,,,,False,none,0.07298430526256561,0.07235275971889496,28.336,28.9545,29.0,0.268734693877551,0.2755102040816326
phi_k1,always_search,cell,A,A,200,beta_good_common_T200_cap64,beta_good_common,64,A,-9.380936622619629e-06,-0.0002878216736018657,0.00026121900379657745,0.00013659811826868264,0.5005,1,2000,1,,,,,,,,,,,,False,none,0.0591398506462574,0.05914923158288002,63.8885,63.8885,64.0,0.3125681818181818,0.31313131313131315
phi_k1,always_search,cell,A,A,50,beta_good_common_T50_cap15,beta_good_common,15,capmatch,9.594976902008057e-05,-0.0011508259080350392,0.0013237822651863097,0.0006321517795415176,0.50125,1,2000,1,,,,,,,,,,,,False,none,0.09127149510383606,0.09117554533481598,14.619,15.1715,15.0,0.2628958333333334,0.27083333333333337
phi_k1,always_search,cell,A,A,100,beta_mostly_mediocre_T100_cap43,beta_mostly_mediocre,43,capmatch,-0.00344319087266922,-0.005743397996202111,-0.0011592225283384348,0.0011661706538711437,0.5105,1,2000,1,,,,,,,,,,,,False,none,0.1403522597402334,0.14379545061290264,40.63,42.6455,43.0,0.3941836734693877,0.4183673469387755
phi_k1,always_search,cell,A,A,200,beta_mostly_mediocre_T200_cap64,beta_mostly_mediocre,64,A,0.0,0.0,0.0,0.0,0.5,1,2000,1,,,,,,,,,,,,False,none,0.13266175171732902,0.13266175171732902,64.0,64.0,64.0,0.31313131313131315,0.31313131313131315
phi_k1,always_search,cell,A,A,50,beta_mostly_mediocre_T50_cap21,beta_mostly_mediocre,21,capmatch,-0.0041091651543974875,-0.006413204300403595,-0.0018274226741865286,0.0011768186959037648,0.51325,1,2000,1,,,,,,,,,,,,False,none,0.1424879562854767,0.14659712143987416,19.946,20.8505,21.0,0.373875,0.39583333333333326
phi_k1,always_search,cell,A,A,100,beta_rare_excellent_T100_cap64,beta_rare_excellent,64,A,0.0,0.0,0.0,0.0,0.5,1,2000,1,,,,,,,,,,,,False,none,0.17039122610958293,0.17039122610958293,64.0,64.0,64.0,0.6326530612244898,0.6326530612244898
phi_k1,always_search,cell,A,A,200,beta_rare_excellent_T200_cap64,beta_rare_excellent,64,A,0.0,0.0,0.0,0.0,0.5,1,2000,1,,,,,,,,,,,,False,none,0.17293234672769905,0.17293234672769905,64.0,64.0,64.0,0.31313131313131315,0.31313131313131315
