test,horizon,cap,policy,regret,regret_se_envs,k_final,search_frac,n_envs,n_episodes,params_tuned,params_cap,tau_cap
capp,200,32,always_search,0.11482260722783394,0.02480267761906014,32.0,0.15151515151515152,8,16000,True,[],[]
capp,200,32,cp0,0.14604079349513632,0.03305169212626806,13.982625,0.06051830808080808,8,16000,True,[],[]
capp,200,32,fixed_K_star,0.11482260722783394,0.02480267761906014,32.0,0.15151515151515152,8,16000,True,[],[]
capp,200,32,level_star,0.11472246486810037,0.024849119348226985,31.4065625,0.1485179924242424,8,16000,True,[],[]
capp,200,32,p3_star,0.11482161571574398,0.024803276828574815,32.0,0.15151515151515152,8,16000,True,[],[]
capp,200,32,phi_k16,0.11476578650367444,0.02482483192503373,31.923000000000002,0.1511262626262626,8,16000,True,[],[]
capp,200,32,phi_k4,0.11482260722783394,0.02480267761906014,32.0,0.15151515151515152,8,16000,True,[],[]
capp,200,32,refine_after_init,0.17800003222754457,0.04003942387471267,8.0,0.030303030303030304,8,16000,True,[],[]
capp,200,48,always_search,0.10784168091753964,0.022639919151520038,48.0,0.23232323232323232,8,16000,True,[],[]
capp,200,48,cp0,0.14604079349513632,0.03305169212626806,13.982625,0.06051830808080808,8,16000,True,[],[]
capp,200,48,fixed_K_star,0.10784168091753964,0.022639919151520038,48.0,0.23232323232323232,8,16000,True,[],[]
capp,200,48,level_star,0.1072983162101591,0.022865349911321133,43.373875,0.20895896464646463,8,16000,True,[],[]
capp,200,48,p3_star,0.10787658054719214,0.022623588626180913,48.0,0.23232323232323232,8,16000,True,[],[]
capp,200,48,phi_k16,0.10763514388317708,0.0227106750051832,44.327124999999995,0.21377335858585858,8,16000,True,[],[]
capp,200,48,phi_k4,0.10785491440037731,0.022636396077320483,47.937,0.2320050505050505,8,16000,True,[],[]
capp,200,48,refine_after_init,0.17800003222754457,0.04003942387471267,8.0,0.030303030303030304,8,16000,True,[],[]
capp,200,64,always_search,0.10625435175649181,0.021792979892171122,64.0,0.31313131313131315,8,16000,True,[],[]
capp,200,64,cp0,0.14604079349513632,0.03305169212626806,13.982625,0.06051830808080808,8,16000,True,[],[]
capp,200,64,fixed_K_star,0.10625435175649181,0.021792979892171122,64.0,0.31313131313131315,8,16000,True,[],[]
capp,200,64,level_star,0.10501639694064216,0.022248787086348924,56.5269375,0.27538857323232324,8,16000,True,[],[]
capp,200,64,p3_star,0.10625842942945019,0.0217904359133431,64.0,0.31313131313131315,8,16000,True,[],[]
capp,200,64,phi_k16,0.10587102763071017,0.022274156429083647,44.21925,0.2132285353535354,8,16000,True,[],[]
capp,200,64,phi_k4,0.10569529130771116,0.022006479481822914,61.359625,0.29979608585858586,8,16000,True,[],[]
capp,200,64,refine_after_init,0.17800003222754457,0.04003942387471267,8.0,0.030303030303030304,8,16000,True,[],[]
capp,200,96,always_search,0.11491835468192585,0.023683105166218972,96.0,0.47474747474747475,8,16000,True,[],[]
capp,200,96,cp0,0.14604079349513632,0.03305169212626806,13.982625,0.06051830808080808,8,16000,True,[],[]
capp,200,96,fixed_K_star,0.10625435175649181,0.021792979892171122,64.0,0.31313131313131315,8,16000,True,[],[]
capp,200,96,level_star,0.10456933565491636,0.0218494598647997,52.560312499999995,0.25535511363636365,8,16000,True,[],[]
capp,200,96,p3_star,0.10760370687162502,0.022366078438817768,61.0,0.29797979797979796,8,16000,True,[],[]
capp,200,96,phi_k16,0.10967010936629959,0.024818336215856638,70.251,0.34470202020202023,8,16000,True,[],[]
capp,200,96,phi_k4,0.10818054652330465,0.02494067171721851,62.396625,0.3050334595959596,8,16000,True,[],[]
capp,200,96,refine_after_init,0.17800003222754457,0.04003942387471267,8.0,0.030303030303030304,8,16000,True,[],[]
capp,200,128,always_search,0.11801900873717387,0.020838929632579897,128.0,0.6363636363636364,8,16000,True,[],[]
capp,200,128,cp0,0.14604079349513632,0.03305169212626806,13.982625,0.06051830808080808,8,16000,True,[],[]
capp,200,128,fixed_K_star,0.10625435175649181,0.021792979892171122,64.0,0.31313131313131315,8,16000,True,[],[]
capp,200,128,level_star,0.10456933565491636,0.0218494598647997,52.560312499999995,0.25535511363636365,8,16000,True,[],[]
capp,200,128,p3_star,0.10628637868778605,0.02137956806014908,68.0,0.3333333333333333,8,16000,True,[],[]
capp,200,128,phi_k16,0.10577125772007276,0.022934049610413808,84.574,0.417040404040404,8,16000,True,[],[]
capp,200,128,phi_k4,0.10294384905893822,0.02303931356708838,74.286375,0.365082702020202,8,16000,True,[],[]
capp,200,128,refine_after_init,0.17800003222754457,0.04003942387471267,8.0,0.030303030303030304,8,16000,True,[],[]
capp,200,160,always_search,0.13243249648460187,0.019042494001710562,160.0,0.797979797979798,8,16000,True,[],[]
capp,200,160,cp0,0.14604079349513632,0.03305169212626806,13.982625,0.06051830808080808,8,16000,True,[],[]
capp,200,160,fixed_K_star,0.10625435175649181,0.021792979892171122,64.0,0.31313131313131315,8,16000,True,[],[]
capp,200,160,level_star,0.10212621270585806,0.022370452319936864,86.885875,0.4287165404040404,8,16000,True,[],[]
capp,200,160,p3_star,0.10760370687162502,0.022366078438817768,61.0,0.29797979797979796,8,16000,True,[],[]
capp,200,160,phi_k16,0.10729441021056844,0.02315595063344805,70.980875,0.3483882575757576,8,16000,True,[],[]
capp,200,160,phi_k4,0.10198286362946965,0.02252689338017831,84.49525000000001,0.41664267676767675,8,16000,True,[],[]
capp,200,160,refine_after_init,0.17800003222754457,0.04003942387471267,8.0,0.030303030303030304,8,16000,True,[],[]
capp,200,200,always_search,0.3029404838957671,0.03291256173787792,200.0,1.0,8,16000,True,[],[]
capp,200,200,cp0,0.14604079349513632,0.03305169212626806,13.982625,0.06051830808080808,8,16000,True,[],[]
capp,200,200,fixed_K_star,0.10625435175649181,0.021792979892171122,64.0,0.31313131313131315,8,16000,True,[],[]
capp,200,200,level_star,0.10456933565491636,0.0218494598647997,52.560312499999995,0.25535511363636365,8,16000,True,[],[]
capp,200,200,p3_star,0.10777541497303172,0.021679317934514088,76.0,0.37373737373737376,8,16000,True,[],[]
capp,200,200,phi_k16,0.1084103754828684,0.022153809584357885,49.45225,0.23965782828282828,8,16000,True,[],[]
capp,200,200,phi_k4,0.10485478874383261,0.02393262850782738,87.90212500000001,0.4338491161616162,8,16000,True,[],[]
capp,200,200,refine_after_init,0.17800003222754457,0.04003942387471267,8.0,0.030303030303030304,8,16000,True,[],[]
capp,1000,32,always_search,0.12569318903936072,0.03467512662299702,32.0,0.03006012024048096,8,16000,True,[],[]
capp,1000,32,cp0,0.12817553091654552,0.03521362915540166,30.393125,0.0284500250501002,8,16000,True,[],[]
capp,1000,32,fixed_K_star,0.12569318903936072,0.03467512662299702,32.0,0.03006012024048096,8,16000,True,[],[]
capp,1000,32,level_star,0.12569318903936072,0.03467512662299702,32.0,0.03006012024048096,8,16000,True,[],[]
capp,1000,32,p3_star,0.12569495353428645,0.034674816186786424,32.0,0.03006012024048096,8,16000,True,[],[]
capp,1000,32,phi_k16,0.12569318903936072,0.03467512662299702,32.0,0.03006012024048096,8,16000,True,[],[]
capp,1000,32,phi_k4,0.12569318903936072,0.03467512662299702,32.0,0.03006012024048096,8,16000,True,[],[]
capp,1000,32,refine_after_init,0.21321115914196706,0.05280132254557043,8.0,0.006012024048096192,8,16000,True,[],[]
capp,1000,48,always_search,0.10815072853351011,0.029771685962871358,48.0,0.04609218436873747,8,16000,True,[],[]
capp,1000,48,cp0,0.12817553091654552,0.03521362915540166,30.393125,0.0284500250501002,8,16000,True,[],[]
capp,1000,48,fixed_K_star,0.10815072853351011,0.029771685962871358,48.0,0.04609218436873747,8,16000,True,[],[]
capp,1000,48,level_star,0.10815072853351011,0.029771685962871358,48.0,0.04609218436873747,8,16000,True,[],[]
capp,1000,48,p3_star,0.10815662652859465,0.02976894117610446,48.0,0.04609218436873747,8,16000,True,[],[]
capp,1000,48,phi_k16,0.10815072853351011,0.029771685962871358,48.0,0.04609218436873747,8,16000,True,[],[]
capp,1000,48,phi_k4,0.10815012102061883,0.02977199512614314,48.0,0.04609218436873747,8,16000,True,[],[64]
capp,1000,48,refine_after_init,0.21321115914196706,0.05280132254557043,8.0,0.006012024048096192,8,16000,True,[],[]
capp,1000,64,always_search,0.0972774778259918,0.026601288964046215,64.0,0.06212424849699399,8,16000,True,[],[]
capp,1000,64,cp0,0.12817553091654552,0.03521362915540166,30.393125,0.0284500250501002,8,16000,True,[],[]
capp,1000,64,fixed_K_star,0.0972774778259918,0.026601288964046215,64.0,0.06212424849699399,8,16000,True,[],[]
capp,1000,64,level_star,0.0972774778259918,0.026601288964046215,64.0,0.06212424849699399,8,16000,True,[],[]
capp,1000,64,p3_star,0.09727819038089365,0.02660153780670982,64.0,0.06212424849699399,8,16000,True,[],[]
capp,1000,64,phi_k16,0.09727744878735395,0.02660130383636277,64.0,0.06212424849699399,8,16000,True,[],[]
capp,1000,64,phi_k4,0.097276821016334,0.026601625358859453,64.0,0.06212424849699399,8,16000,True,[],[]
capp,1000,64,refine_after_init,0.21321115914196706,0.05280132254557043,8.0,0.006012024048096192,8,16000,True,[],[]
capp,1000,96,always_search,0.0860721891671419,0.023240895918041102,96.0,0.09418837675350701,8,16000,True,[],[]
capp,1000,96,cp0,0.12817553091654552,0.03521362915540166,30.393125,0.0284500250501002,8,16000,True,[],[]
capp,1000,96,fixed_K_star,0.0860721891671419,0.023240895918041102,96.0,0.09418837675350701,8,16000,True,[],[]
capp,1000,96,level_star,0.08613173397257923,0.02322112501166017,92.48712499999999,0.0906684619238477,8,16000,True,[],[]
capp,1000,96,p3_star,0.08608218386769295,0.023237305378654035,96.0,0.09418837675350701,8,16000,True,[],[]
capp,1000,96,phi_k16,0.08607229508087039,0.02324084119921815,96.0,0.09418837675350701,8,16000,True,[],[]
capp,1000,96,phi_k4,0.08678209192678332,0.022975280661278814,89.29225,0.08746718436873746,8,16000,True,[],[]
capp,1000,96,refine_after_init,0.21321115914196706,0.05280132254557043,8.0,0.006012024048096192,8,16000,True,[],[]
capp,1000,128,always_search,0.08089104368444533,0.021758695227347448,128.0,0.12625250501002003,8,16000,True,[],[]
capp,1000,128,cp0,0.12817553091654552,0.03521362915540166,30.393125,0.0284500250501002,8,16000,True,[],[]
capp,1000,128,fixed_K_star,0.08089104368444533,0.021758695227347448,128.0,0.12625250501002003,8,16000,True,[],[]
capp,1000,128,level_star,0.08080013183597476,0.0217041410320501,109.0714375,0.10728600951903808,8,16000,True,[],[]
capp,1000,128,p3_star,0.08089492812287062,0.021757813861096938,128.0,0.12625250501002003,8,16000,True,[],[]
capp,1000,128,phi_k16,0.08089008237328381,0.02175919295858538,128.0,0.12625250501002003,8,16000,True,[],[]
capp,1000,128,phi_k4,0.08175714727770537,0.02143859989177666,115.474125,0.11370152805611222,8,16000,True,[],[]
capp,1000,128,refine_after_init,0.21321115914196706,0.05280132254557043,8.0,0.006012024048096192,8,16000,True,[],[]
capp,1000,192,always_search,0.07831624450162053,0.02123196815467162,192.0,0.1903807615230461,8,16000,True,[],[]
capp,1000,192,cp0,0.12817553091654552,0.03521362915540166,30.393125,0.0284500250501002,8,16000,True,[],[]
capp,1000,192,fixed_K_star,0.07831624450162053,0.02123196815467162,192.0,0.1903807615230461,8,16000,True,[],[]
capp,1000,192,level_star,0.07775754760950804,0.021429459822714138,169.7781875,0.16811441633266533,8,16000,True,[],[]
capp,1000,192,p3_star,0.0783165438733995,0.021231815125946574,192.0,0.1903807615230461,8,16000,True,[],[]
capp,1000,192,phi_k16,0.0784540613591671,0.021188870225615546,162.9535,0.16127605210420842,8,16000,True,[],[]
capp,1000,192,phi_k4,0.07831624450162053,0.02123196815467162,192.0,0.1903807615230461,8,16000,True,[],[]
capp,1000,192,refine_after_init,0.21321115914196706,0.05280132254557043,8.0,0.006012024048096192,8,16000,True,[],[]
capp,1000,256,always_search,0.07799870536569506,0.021946417751306544,256.0,0.2545090180360721,8,16000,True,[],[]
capp,1000,256,cp0,0.12817553091654552,0.03521362915540166,30.393125,0.0284500250501002,8,16000,True,[],[]
capp,1000,256,fixed_K_star,0.07831624450162053,0.02123196815467162,192.0,0.1903807615230461,8,16000,True,[],[]
capp,1000,256,level_star,0.07586840138211846,0.0204738538986163,160.9769375,0.15929552855711424,8,16000,True,[],[]
capp,1000,256,p3_star,0.07723786376789211,0.020593922488051565,216.0,0.21442885771543085,8,16000,True,[],[]
capp,1000,256,phi_k16,0.07770622716937214,0.022046493100187508,212.2815,0.21070290581162324,8,16000,True,[],[]
capp,1000,256,phi_k4,0.07816642292309553,0.021888937194398463,217.04025000000001,0.21547119238476953,8,16000,True,[],[]
capp,1000,256,refine_after_init,0.21321115914196706,0.05280132254557043,8.0,0.006012024048096192,8,16000,True,[],[]
