row,policy,reference,test,horizon,delta,lo,hi,se,win,n_cells,n_episodes,n_envs,cluster_lo,cluster_hi,cluster_se,cluster_p,cluster_p_sign,cluster_boot_t_lo,cluster_boot_t_hi,cluster_pct_lo,cluster_pct_hi,cluster_min_env,cluster_max_env,cluster_degenerate,cluster_method,p_holm,mei,verdict,as_registered
primary,phi_k4,p3_star,robust,all,-0.005049777325558373,-0.005808134473126459,-0.0042603330052614265,0.0003953155561793829,0.5145000000000001,90,45000,30,-0.0066025338495055265,-0.003497020801611221,0.0007592088888013504,2.71365262440394e-07,,-0.007006533572727052,-0.0037150932007691327,-0.00665266550376041,-0.0036761483785050864,,,False,env_mean_t,,0.002,supported,True
secondary,phi_k4,p3_star,robust,50,-0.00867371818505538,-0.01033847260059323,-0.007052261345139706,0.0008347835716176723,0.5240999999999999,30,15000,30,-0.011054629747350412,-0.0062928066227603465,0.00116412920742352,3.2768724252790404e-08,,-0.01142630261606231,-0.006545118471927847,-0.010978885178235358,-0.006524405173436972,,,False,env_mean_t,9.830617275837121e-08,0.002,,True
secondary,phi_k4,p3_star,robust,100,-0.0060816765138258545,-0.0077318349759187555,-0.004439711417683089,0.0008387116296402315,0.5158,30,15000,30,-0.008774812219953574,-0.003388540807698135,0.0013167889075377374,7.313788377328996e-05,,-0.009422171560799943,-0.003845961931959859,-0.008791194786367315,-0.003736421939901387,,,False,env_mean_t,0.00014627576754657991,0.002,,True
secondary,phi_k4,p3_star,robust,200,-0.0003939372777938843,-0.0006405092528462411,-0.0001490458397070567,0.00012482993922184127,0.5036,30,15000,30,-0.0007398902956816692,-4.798425990609935e-05,0.00016915118515837456,0.027038182939018274,,-0.0011921767683269948,-0.00014962895082391473,-0.0007578952690958978,-0.00012654179513454442,,,False,env_mean_t,0.027038182939018274,0.002,,True
structural,phi_k4,p3_star,robust,500,-4.963318506876628e-07,-1.5671849250793459e-06,4.0421485900878907e-07,4.980570257647204e-07,0.5001,30,15000,30,-1.8054515748881534e-06,8.127878735128279e-07,6.400844664246997e-07,0.4443713354092995,,-3.6433268389750104e-06,3.475588981316834e-07,-1.8691778182983399e-06,3.8018226623535157e-07,,,False,env_mean_t,,0.002,,True
structural,phi_k4,p3_star,robust,1000,-1.2570858001708984e-06,-5.2946445345878596e-06,2.0062335332234697e-06,1.8747190258413145e-06,0.5001666666666666,30,15000,30,-4.385748573229387e-06,1.8715769728875898e-06,1.5297366655589904e-06,0.4179152228811942,,-4.107001034650953e-05,8.077570215654074e-07,-4.58304484685262e-06,8.982429901758762e-07,,,False,env_mean_t,,0.002,,True
