test,recommender,level,family,horizon,cell,env_id,cap,base_seed,policy,group,n_cells,n_envs,n_episodes,n_cells_policy,common_support,params_tuned,regret,regret_lo,regret_hi,regret_se,q,regret_disc,regret_sel,k_final,search_frac,n_rec,n_singletons_final,herfindahl,n_eliminated_final,n_demoted,t_cap_hit_given_hit,mu_star,mu_star_cap,best_discovered,cap_hit_frac,d_regret_vs_cp0,d_regret_vs_cp0_lo,d_regret_vs_cp0_hi,d_regret_vs_cp0_se,d_regret_vs_cp0_win,d_regret_vs_cp0_cluster_lo,d_regret_vs_cp0_cluster_hi,d_regret_vs_cp0_n_cells,d_regret_vs_cp0_cluster_degenerate,d_regret_vs_cp0_ref_tuned,d_regret_vs_cp0_n_excluded_untuned,d_regret_vs_p3_star,d_regret_vs_p3_star_lo,d_regret_vs_p3_star_hi,d_regret_vs_p3_star_se,d_regret_vs_p3_star_win,d_regret_vs_p3_star_cluster_lo,d_regret_vs_p3_star_cluster_hi,d_regret_vs_p3_star_n_cells,d_regret_vs_p3_star_cluster_degenerate,d_regret_vs_p3_star_ref_tuned,d_regret_vs_p3_star_n_excluded_untuned,d_regret_vs_phi_k16,d_regret_vs_phi_k16_lo,d_regret_vs_phi_k16_hi,d_regret_vs_phi_k16_win
cap,posterior_mean_shrunk,cell,B,200,tail_b2.0_mu1.0_c1.0_T200_cap64,tail_b2.0_mu1.0_c1.0,64,10367000,refine_after_init,baseline,1,1,1000,1,True,True,0.2379337819814682,0.22855106554925442,0.24730793051421643,0.00479552818193543,0.6987948457598686,0.2294584136903286,0.008475368291139602,8.0,0.03030303030303029,71.296,0.004,0.28156050000000005,1.181,,,0.9367286277413368,0.8879502249360085,0.7072702140510082,0.0,0.05675641086697578,0.04916368992999196,0.06435718853026628,0.0038936217920660047,0.372,,,1,False,True,0,0.14560643059015274,0.13526558205485345,0.15576319806277752,0.00522109035536816,0.1935,,,1,False,True,0,0.14047177505493164,0.13061590009666982,0.15053936698958278,0.1995
cap,posterior_mean_shrunk,cell,B,1000,tail_b8.0_mu1.0_c1.0_T1000_cap1000,tail_b8.0_mu1.0_c1.0,1000,10479000,always_search,baseline,1,1,1000,1,True,True,0.40198402416543105,0.3939296528697014,0.4097890004515648,0.004056442003779022,0.20053658828302287,0.0,0.40198402416543105,1000.0,1.0,1.0,1000.0,0.0010000000000000005,0.0,,1000.0,0.6025206124484539,0.6025206124484539,0.6025206124484539,1.0,0.17788712999061682,0.1683042176067829,0.18726547285914422,0.004838159842783912,0.121,,,1,False,True,0,0.24424620599881747,0.23489531688392162,0.25347927287220956,0.004823545829282913,0.0695,,,1,False,True,0,0.0066959580332040785,0.0038546298971399665,0.009782900185137987,0.487
cap,posterior_mean_shrunk,cell,B,1000,tail_b8.0_mu1.0_c1.0_T1000_cap1000,tail_b8.0_mu1.0_c1.0,1000,10479000,cp0,reference,1,1,1000,1,True,True,0.22409689417481424,0.21695677004754543,0.23107100948691367,0.0035327115371671753,0.3784237182736397,0.21659453484416008,0.007502359330654144,30.784,0.028841683366733456,188.271,0.0,0.105959314,3.281,,,0.6025206124484539,0.6025206124484539,0.3859260776042938,0.0,0.0,0.0,0.0,0.0,0.5,,,1,False,True,0,0.06635907600820065,0.05993072725832462,0.07287971656769514,0.0032891144728333715,0.28,,,1,False,True,0,-0.17119117195741274,-0.18106885847340454,-0.1613048847595637,0.864
cap,posterior_mean_shrunk,cell,B,1000,tail_b8.0_mu1.0_c1.0_T1000_cap1000,tail_b8.0_mu1.0_c1.0,1000,10479000,p3_star,reference,1,1,1000,1,True,True,0.15773781816661359,0.1513129875063896,0.16413006745278835,0.003279214799298873,0.4447827942818403,0.1361647672057152,0.0215730509608984,88.0,0.08617234468937875,80.434,0.0,0.029266504000000002,0.711,,,0.6025206124484539,0.6025206124484539,0.4663558452427387,0.0,-0.06635907600820065,-0.07287971656769514,-0.05993072725832462,0.0032891144728333715,0.72,,,1,False,True,0,0.0,0.0,0.0,0.0,0.5,,,1,False,True,0,-0.2375502479656134,-0.24696857097450411,-0.22796973655847833,0.92
cap,posterior_mean_shrunk,cell,B,1000,tail_b8.0_mu1.0_c1.0_T1000_cap1000,tail_b8.0_mu1.0_c1.0,1000,10479000,phi_k16,learned,1,1,1000,1,True,True,0.39528806613222695,0.3870969578623772,0.40337098464369775,0.004167246836651078,0.20723254631622695,0.00021304750442504883,0.3950750186278019,999.088,0.9990861723446893,1.082,998.307,0.0010021140000000006,0.0,0.0,1000.0,0.6025206124484539,0.6025206124484539,0.6023075649440288,0.943,0.17119117195741274,0.161467594653368,0.18091659434139729,0.004961004492499859,0.136,,,1,False,True,0,0.2375502479656134,0.2280425414443016,0.24699825346469878,0.004917844490891877,0.08,,,1,False,True,0,0.0,0.0,0.0,0.5
cap,posterior_mean_shrunk,cell,B,1000,tail_b8.0_mu1.0_c1.0_T1000_cap1000,tail_b8.0_mu1.0_c1.0,1000,10479000,phi_k16_quality,learned,1,1,1000,1,True,True,0.40198402416543105,0.3939296528697014,0.4097890004515648,0.004056442003779022,0.20053658828302287,0.0,0.40198402416543105,1000.0,1.0,1.0,1000.0,0.0010000000000000005,0.0,0.0,1000.0,0.6025206124484539,0.6025206124484539,0.6025206124484539,1.0,0.17788712999061682,0.1683042176067829,0.18726547285914422,0.004838159842783912,0.121,,,1,False,True,0,0.24424620599881747,0.23489531688392162,0.25347927287220956,0.004823545829282913,0.0695,,,1,False,True,0,0.0066959580332040785,0.0038749346353113656,0.009856458941660819,0.487
cap,posterior_mean_shrunk,cell,B,1000,tail_b8.0_mu1.0_c1.0_T1000_cap1000,tail_b8.0_mu1.0_c1.0,1000,10479000,refine_after_init,baseline,1,1,1000,1,True,True,0.3254269118718803,0.3179934673011303,0.3327730968594551,0.0037500610909644966,0.2770937005765736,0.322984682135284,0.0024422297365963457,8.0,0.006012024048096194,413.055,0.0,0.326533862,1.859,,,0.6025206124484539,0.6025206124484539,0.27953593031317,0.0,0.10133001769706607,0.09431573245674371,0.10861524995416402,0.0036352357987909064,0.21300000000000002,,,1,False,True,0,0.16768909370526672,0.1596073355525732,0.17581820003688334,0.004185473576436448,0.10400000000000001,,,1,False,True,0,-0.06986115426034667,-0.07960590930337202,-0.05969105562181213,0.6855
cap,posterior_mean_shrunk,cell,B,1000,tail_b8.0_mu1.0_c1.0_T1000_cap128,tail_b8.0_mu1.0_c1.0,128,10753000,always_search,baseline,1,1,1000,1,True,True,0.14639556192606687,0.13999887481331824,0.15296712853014469,0.003286462248422936,0.45363625360280274,0.11341136461496353,0.032984197311103344,128.0,0.12625250501002003,49.29,0.0,0.015475038000000002,0.361,,128.0,0.6000318155288696,0.4866204509139061,0.4866204509139061,1.0,-0.07406237293034793,-0.08097686860710382,-0.06712423227727413,0.0035390815411790247,0.7355,,,1,False,True,0,-0.015682651303708554,-0.020705301873385904,-0.010635414812713863,0.0025842331586382133,0.558,,,1,False,True,0,0.0,0.0,0.0,0.5
cap,posterior_mean_shrunk,cell,B,1000,tail_b8.0_mu1.0_c1.0_T1000_cap128,tail_b8.0_mu1.0_c1.0,128,10753000,cp0,reference,1,1,1000,1,True,True,0.2204579348564148,0.21373727582395077,0.2272846095263958,0.003424199943234927,0.37957388067245484,0.21217009902000428,0.008287835836410523,30.787,0.028844689378757508,189.226,0.0,0.106623662,3.212,,,0.6000318155288696,0.4866204509139061,0.38786171650886536,0.0,0.0,0.0,0.0,0.0,0.5,,,1,False,True,0,0.05837972162663937,0.05234918603673577,0.06465802360326052,0.0031487510647744154,0.311,,,1,False,True,0,0.07406237293034793,0.06708291915748268,0.08101437928769736,0.2645
cap,posterior_mean_shrunk,cell,B,1000,tail_b8.0_mu1.0_c1.0_T1000_cap128,tail_b8.0_mu1.0_c1.0,128,10753000,p3_star,reference,1,1,1000,1,True,True,0.16207821322977542,0.15563384145498277,0.16847193315625192,0.0032470217487543755,0.4379536022990942,0.13900150668621064,0.023076706543564796,88.0,0.08617234468937875,79.468,0.0,0.028802336,0.544,,,0.6000318155288696,0.4866204509139061,0.461030308842659,0.0,-0.05837972162663937,-0.06465802360326052,-0.05234918603673577,0.0031487510647744154,0.6890000000000001,,,1,False,True,0,0.0,0.0,0.0,0.0,0.5,,,1,False,True,0,0.015682651303708554,0.01072037294264883,0.020807186613790687,0.442
