env_id,family,horizon,rule,K,regret,regret_se,k_final,alpha,c,b,beta,is_mixture
beta_mostly_mediocre,beta,200,oracle_beta_c1.0,111.0,0.15637909251451493,0.0032384444968397213,111.0,,,,8.0,False
beta_mostly_mediocre,beta,200,oracle_beta_c1.5,167.0,0.1863282074034214,0.003469816826008583,167.0,,,,8.0,False
beta_mostly_mediocre,beta,200,oracle_beta_c2.0,200.0,0.27887393009662625,0.003877941124303636,200.0,,,,8.0,False
beta_mostly_mediocre,beta,200,oracle_beta_c3.0,200.0,0.27887393009662625,0.003877941124303636,200.0,,,,8.0,False
beta_rare_excellent,beta,1000,oracle_beta_c0.5,251.0,0.15919447038322687,0.003582475913884973,251.0,,,,9.0,False
beta_rare_excellent,beta,1000,oracle_beta_c0.75,376.0,0.15675615619122982,0.0036570866166201563,376.0,,,,9.0,False
beta_rare_excellent,beta,1000,level_star,,0.15525543277710677,0.0035352848382787906,221.369,0.5,4.0,2.0,9.0,False
beta_rare_excellent,beta,1000,p3_star,,0.1564721442759037,0.0035831417544624888,240.0,0.5,7.5846201147,,9.0,False
beta_moderately_rare,beta,1000,level_star,,0.1035203693807125,0.0027030978789551437,177.285,0.5,4.0,2.0,5.0,False
beta_moderately_rare,beta,1000,p3_star,,0.11024763709306717,0.00293423434469639,240.0,0.5,7.5846201147,,5.0,False
beta_moderately_rare,beta,1000,oracle_beta_c1.0,316.0,0.11975130701065063,0.003212857692713714,316.0,,,,5.0,False
beta_moderately_rare,beta,1000,oracle_beta_c1.5,474.0,0.11319181415438652,0.003073458106194047,474.0,,,,5.0,False
beta_skewed,beta,200,ceiling,128.0,0.1376616417467594,0.004472091060281271,128.0,,,,3.0,False
beta_skewed,beta,200,pooled_K,48.0,0.1641120896935463,0.004662835881361585,48.0,,,,3.0,False
beta_skewed,beta,200,oracle_beta_c0.5,27.0,0.20535178808867932,0.004912342271102819,27.0,,,,3.0,False
beta_skewed,beta,200,oracle_beta_c0.75,40.0,0.17335755304992198,0.004690703580224994,40.0,,,,3.0,False
beta_skewed,beta,200,level_star,,0.15118169610202312,0.004563775947731856,64.82,0.5,3.0,2.0,3.0,False
beta_skewed,beta,200,p3_star,,0.16361508901417254,0.004734973601910288,76.0,0.3333333333333333,12.9269291522,,3.0,False
beta_mostly_mediocre,beta,1000,ceiling,96.0,0.10060443025827408,0.002093878644903458,96.0,,,,8.0,False
beta_mostly_mediocre,beta,1000,pooled_K,192.0,0.10929341855645179,0.0024251474872407,192.0,,,,8.0,False
beta_skewed,beta,200,oracle_beta_c1.0,53.0,0.15844157531857492,0.004639863166289796,53.0,,,,3.0,False
