row,policy,reference,test,horizon,delta,lo,hi,se,win,n_cells,n_episodes,n_envs,cluster_lo,cluster_hi,cluster_se,cluster_p,cluster_p_sign,cluster_boot_t_lo,cluster_boot_t_hi,cluster_pct_lo,cluster_pct_hi,cluster_min_env,cluster_max_env,cluster_degenerate,cluster_method,p_holm,mei,rule,verdict,as_registered
primary,p3_star,fixed_K_star,capc,all,-0.0006100366438428562,-0.0015571608139201996,0.0003737091081216928,0.0004894462366178559,0.49820833333333336,6,12000,3,,,,,,,,,,-0.00225138670951128,0.00025182116776704787,True,range,,0.002,noninferiority,supported,True
secondary,p3_star,fixed_K_star,capc,200,-0.0017955484638611475,-0.003649430670465032,3.088266315559394e-05,0.000948906498047978,0.4998333333333333,3,6000,3,,,,,,,,,,-0.004941674575209618,-0.00014662922918796538,True,range,1.0,0.002,noninferiority,,True
secondary,p3_star,fixed_K_star,capc,1000,0.0005754751761754354,8.615122040112832e-05,0.001051863554616769,0.00024340315877588,0.4965833333333333,3,6000,3,,,,,,,,,,0.0004389011561870575,0.0006502715647220611,True,range,1.0,0.002,noninferiority,,True
