test,source,posthoc,variant,policy,tau,heldout_T,n_cells,regret,regret_lo,regret_hi,search_frac
A,validation,False,clock_quality_evidence_k16_noT1000,,0.7,True,8,0.09902628356218333,,,0.0621242484969939
A,validation,False,clock_quality_evidence_k16_noT200,,0.3,False,32,0.11613357626412468,,,0.3599353220209782
A,validation,False,clock_quality_evidence_k16_noT200,,0.3,True,8,0.10720442307740446,,,0.3131313131313131
A,validation,False,clock_quality_evidence_k16_noT200,,0.4,False,32,0.11180077773238005,,,0.29958583222505986
A,validation,False,clock_quality_evidence_k16_noT200,,0.4,True,8,0.1063217104747891,,,0.29322474747474747
A,validation,False,clock_quality_evidence_k16_noT200,,0.5,False,32,0.10974625623392054,,,0.26232955200212726
A,validation,False,clock_quality_evidence_k16_noT200,,0.5,True,8,0.10511569011956448,,,0.2305732323232323
A,validation,False,clock_quality_evidence_k16_noT200,,0.6,False,32,0.1122056868858926,,,0.2199938279969495
A,validation,False,clock_quality_evidence_k16_noT200,,0.6,True,8,0.10717679364979263,,,0.1936010101010101
A,validation,False,clock_quality_evidence_k16_noT200,,0.7,False,32,0.11572277604079861,,,0.17177867413172376
A,validation,False,clock_quality_evidence_k16_noT200,,0.7,True,8,0.11288620569370682,,,0.15847979797979794
A,validation,False,clock_quality_evidence_k16_noambig,,0.3,False,40,0.1185984162141103,,,0.3524289110902932
A,validation,False,clock_quality_evidence_k16_noambig,,0.4,False,40,0.10970933683308537,,,0.28294226916079407
A,validation,False,clock_quality_evidence_k16_noambig,,0.5,False,40,0.10975535369322165,,,0.24769483079881188
A,validation,False,clock_quality_evidence_k16_noambig,,0.6,False,40,0.11069248229383952,,,0.21029930422746773
A,validation,False,clock_quality_evidence_k16_noambig,,0.7,False,40,0.11537275371858846,,,0.1626875327186848
A,validation,False,clock_quality_evidence_k16_nopolicy,,0.3,False,40,0.11027954356863626,,,0.25283945530798024
A,validation,False,clock_quality_evidence_k16_nopolicy,,0.4,False,40,0.10966059679350579,,,0.21707782883921092
A,validation,False,clock_quality_evidence_k16_nopolicy,,0.5,False,40,0.11009956013626647,,,0.19566530937359336
A,validation,False,clock_quality_evidence_k16_nopolicy,,0.6,False,40,0.11104554859624474,,,0.1805431641520293
A,validation,False,clock_quality_evidence_k16_nopolicy,,0.7,False,40,0.11632574640358795,,,0.14657940068317926
A,validation,False,clock_quality_evidence_k16_notrunc,,0.3,False,40,0.10885529361085497,,,0.2869119249018784
A,validation,False,clock_quality_evidence_k16_notrunc,,0.4,False,40,0.108495342235337,,,0.2507334565448386
A,validation,False,clock_quality_evidence_k16_notrunc,,0.5,False,40,0.1095359799736179,,,0.21615353338901183
A,validation,False,clock_quality_evidence_k16_notrunc,,0.6,False,40,0.11018034952316662,,,0.19443180335680857
A,validation,False,clock_quality_evidence_k16_notrunc,,0.7,False,40,0.11608612623933001,,,0.15013192904823233
A,validation,False,clock_quality_evidence_k16_weighted,,0.3,False,40,0.12372618659655558,,,0.3842768702739666
A,validation,False,clock_quality_evidence_k16_weighted,,0.4,False,40,0.11449856011555526,,,0.3251255358080883
A,validation,False,clock_quality_evidence_k16_weighted,,0.5,False,40,0.1104214505351381,,,0.25953876522445307
A,validation,False,clock_quality_evidence_k16_weighted,,0.6,False,40,0.11690427084022663,,,0.19811963899112045
A,validation,False,clock_quality_evidence_k16_weighted,,0.7,False,40,0.1294983192280051,,,0.14162270369919258
A,validation,False,clock_quality_evidence_k4,,0.3,False,40,0.10861873609151221,,,0.3128507957532493
A,validation,False,clock_quality_evidence_k4,,0.4,False,40,0.10788331692458594,,,0.27310911620264117
A,validation,False,clock_quality_evidence_k4,,0.5,False,40,0.10876802341256694,,,0.22361999569354013
