row,policy,reference,test,horizon,delta,lo,hi,se,win,n_cells,n_episodes,n_envs,cluster_lo,cluster_hi,cluster_se,cluster_p,cluster_p_sign,cluster_boot_t_lo,cluster_boot_t_hi,cluster_pct_lo,cluster_pct_hi,cluster_min_env,cluster_max_env,cluster_degenerate,cluster_method,p_holm,mei,verdict,as_registered
primary,fixed_K_star,p3_star,robust,all,-0.00034889242632521526,-0.0008363292055871957,0.00014555946359152153,0.000247078370933894,0.5006666666666668,90,45000,30,-0.0010067144885160736,0.00030892963586564334,0.0003216372619677572,0.28697312240091444,,-0.0010214098981504148,0.0002778255664531683,-0.0009648228108727681,0.0002634291213331743,,,False,env_mean_t,,0.002,refuted,True
secondary,fixed_K_star,p3_star,robust,50,-0.0001308060318231583,-0.0015047482538809223,0.001256899000230478,0.0007035340590460584,0.49933333333333335,30,15000,30,-0.002063621801121979,0.0018020097374756622,0.0009450360631793598,0.8908700633849653,,-0.0020591807715615515,0.0018149801017654612,-0.001961894607342157,0.0016752722743301025,,,False,env_mean_t,0.8908700633849653,0.002,,True
secondary,fixed_K_star,p3_star,robust,100,-0.0009155751551191011,-0.001400995566075047,-0.00043142803338666765,0.000247305508281791,0.5026333333333333,30,15000,30,-0.0012923687488187632,-0.000538781561419439,0.00018423045800703005,2.7593188011972586e-05,,-0.001308785363818241,-0.0005538235508126755,-0.0012729184073333936,-0.0005613922760014735,,,False,env_mean_t,8.277956403591776e-05,0.002,,True
secondary,fixed_K_star,p3_star,robust,200,-2.9609203338623047e-07,-8.882761001586915e-07,0.0,2.943060661544477e-07,0.5000333333333333,30,15000,30,-9.016682368670949e-07,3.09484170094634e-07,2.9609203338623047e-07,0.32558198801619365,,-2.9609203338623047e-07,1.7297002656878134e-07,-8.882761001586913e-07,0.0,,,False,env_mean_t,0.6511639760323873,0.002,,True
structural,fixed_K_star,p3_star,robust,500,0.0,0.0,0.0,0.0,0.5,30,15000,30,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,,,False,env_mean_t,,0.002,,True
structural,fixed_K_star,p3_star,robust,1000,-1.0199824968973795e-06,-4.64263767004013e-06,1.5247424443562822e-06,1.5987499061078125e-06,0.5000666666666667,30,15000,30,-4.20650289236262e-06,2.1665378985678606e-06,1.5580257247506125e-06,0.5178435496842932,,-8.574323814617637e-06,1.1148101638497428e-06,-4.400702317555744e-06,1.2675841649373371e-06,,,False,env_mean_t,,0.002,,True
