row,policy,reference,test,horizon,delta,lo,hi,se,win,n_cells,n_episodes,n_envs,cluster_lo,cluster_hi,cluster_se,cluster_p,cluster_p_sign,cluster_boot_t_lo,cluster_boot_t_hi,cluster_pct_lo,cluster_pct_hi,cluster_min_env,cluster_max_env,cluster_degenerate,cluster_method,p_holm,mei,verdict,as_registered
primary,level_star,fixed_K_star,robust,all,-0.004683313222845189,-0.00544879711767154,-0.003920901065391177,0.0003900685076494569,0.5131777777777777,90,45000,30,-0.006452607518923885,-0.002914018926766488,0.0008650834408177911,8.03700192128746e-06,,-0.0072364076927537956,-0.003275690175862089,-0.006511736766433265,-0.003183860140079374,,,False,env_mean_t,,0.002,supported,True
secondary,level_star,fixed_K_star,robust,50,-0.008531155629937228,-0.010114598656865613,-0.006961532195535256,0.0008045808386353407,0.5212,30,15000,30,-0.011547352004792883,-0.005514959255081572,0.0014747470468452913,2.8787559169846064e-06,,-0.012197319213319964,-0.005998438155263162,-0.011465907907193372,-0.005824380561058255,,,False,env_mean_t,8.636267750953819e-06,0.002,,True
secondary,level_star,fixed_K_star,robust,100,-0.0047715781990438685,-0.006366403760857259,-0.003159523029215635,0.0008233853489226068,0.5127333333333333,30,15000,30,-0.0075331748891196764,-0.0020099815089680605,0.0013502624024146741,0.001394626054918379,,-0.008695773250057319,-0.0025050980797682422,-0.007651924235178157,-0.002367285661871235,,,False,env_mean_t,0.002789252109836758,0.002,,True
secondary,level_star,fixed_K_star,robust,200,-0.0007472058395544688,-0.0011761882033944132,-0.0003121657117207846,0.00021889337191276264,0.5055999999999999,30,15000,30,-0.0014028758436139006,-9.15358354950371e-05,0.00032058502896316284,0.0269265456448361,,-0.0016485683342157766,-0.0001918785665197553,-0.001408629659861326,-0.00016543958579500536,,,False,env_mean_t,0.0269265456448361,0.002,,True
structural,level_star,fixed_K_star,robust,500,4.954886436462402e-06,-6.714944243431083e-06,1.6895002027352648e-05,5.997115283777808e-06,0.49953333333333333,30,15000,30,-6.516186535432505e-06,1.642595940835731e-05,5.608696811147927e-06,0.3842696951641974,,-2.14036083307211e-06,0.000811811011221408,-1.8604358037312825e-06,1.6690889994303384e-05,,,False,env_mean_t,,0.002,,True
structural,level_star,fixed_K_star,robust,1000,0.0,0.0,0.0,0.0,0.5,30,15000,30,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,,,False,env_mean_t,,0.002,,True
