test,recommender,variant,policy,oof_auc_env,oof_bal_acc_tau_off,tau_off,oof_bal_acc_05,k,feature_set,n_features,regret_pooled,regret_lo,regret_hi,d_regret_vs_cp0,d_regret_vs_cp0_lo,d_regret_vs_cp0_hi,search_frac,n_cells,regret_family_A,regret_family_B
A,empirical,clock_quality_evidence_k1,phi_k1,0.6371770156401746,0.599032485505599,0.57,0.5882515196908111,1,clock_quality_evidence,62,0.1122131174104081,0.11149355077825021,0.11291335387388243,-0.03637404358719741,-0.03725652784996782,-0.03549395307309169,0.28095091138662387,40,0.1330374649020603,0.09138876991875586
A,lcb,clock_quality_evidence_k1,phi_k1,0.6371770156401746,0.599032485505599,0.57,0.5882515196908111,1,clock_quality_evidence,62,0.10806257156878965,0.10738491063639231,0.10873309409427748,-0.040239083485157784,-0.04109598189028475,-0.03937567772787588,0.28095091138662387,40,0.13056598324428703,0.08555915989329224
A,oracle_prior,clock_quality_evidence_k1,phi_k1,0.6371770156401746,0.599032485505599,0.57,0.5882515196908111,1,clock_quality_evidence,62,0.10804866677560168,0.10736771460629825,0.10871580498300318,-0.04021468532750532,-0.04107089065462787,-0.03935064126842917,0.28095091138662387,40,0.1305774090337327,0.08551992451747066
A,posterior_mean,clock_quality_evidence_k1,phi_k1,0.6371770156401746,0.599032485505599,0.57,0.5882515196908111,1,clock_quality_evidence,62,0.1080896895262671,0.10741073119985231,0.10875647229469905,-0.04023201008899287,-0.04110044872450089,-0.03937501420394256,0.28095091138662387,40,0.13062747502771602,0.0855519040248182
A,posterior_mean_shrunk,clock_quality_evidence_k1,phi_k1,0.6371770156401746,0.599032485505599,0.57,0.5882515196908111,1,clock_quality_evidence,62,0.10806589709185319,0.10738801130341016,0.10873539290223562,-0.04020510991526917,-0.041064015168167316,-0.039341137188721405,0.28095091138662387,40,0.13057681286807563,0.08555498131563073
A,empirical,clock_quality_evidence_k4,phi_k4,0.6930385128579206,0.6429080258585034,0.61,0.6192170450552046,4,clock_quality_evidence,62,0.11134527001365313,0.1106314883835148,0.11204762886860407,-0.037241890983952364,-0.03812479673726557,-0.0363696336476437,0.27304826985652697,40,0.13277268178681478,0.08991785824049149
A,lcb,clock_quality_evidence_k4,phi_k4,0.6930385128579206,0.6429080258585034,0.61,0.6192170450552046,4,clock_quality_evidence,62,0.10805659215737506,0.10737050833471586,0.10872857504589774,-0.040245062896572384,-0.04109960994512221,-0.03939411164249122,0.27304826985652697,40,0.13075883531966176,0.08535434899508837
A,oracle_prior,clock_quality_evidence_k4,phi_k4,0.6930385128579206,0.6429080258585034,0.61,0.6192170450552046,4,clock_quality_evidence,62,0.10804255016211792,0.1073563229604042,0.10871442970041244,-0.04022080194098908,-0.04107701377179183,-0.03936734804779803,0.27304826985652697,40,0.1307592155816492,0.08532588474258665
A,posterior_mean,clock_quality_evidence_k4,phi_k4,0.6930385128579206,0.6429080258585034,0.61,0.6192170450552046,4,clock_quality_evidence,62,0.10808717302455007,0.10739557512490136,0.1087566575827077,-0.0402345265907099,-0.041089721361692,-0.03938845462056633,0.27304826985652697,40,0.13082070377790297,0.08535364227119717
A,posterior_mean_shrunk,clock_quality_evidence_k4,phi_k4,0.6930385128579206,0.6429080258585034,0.61,0.6192170450552046,4,clock_quality_evidence,62,0.10805029353078828,0.10736589514701336,0.10872047412281972,-0.040220713476334095,-0.04107613922697056,-0.03936908564340229,0.27304826985652697,40,0.13076587122403943,0.08533471583753709
A,empirical,clock_quality_evidence_k16,phi_k16,0.7501474319716768,0.6862784367248516,0.63,0.6576538124790676,16,clock_quality_evidence,62,0.11433084280344737,0.11362162747711409,0.11504781475814525,-0.03425631819415812,-0.03512785998544132,-0.03336418673374283,0.24406416897402355,40,0.13598629969678513,0.09267538591010963
A,lcb,clock_quality_evidence_k16,phi_k16,0.7501474319716768,0.6862784367248516,0.63,0.6576538124790676,16,clock_quality_evidence,62,0.1100834543939618,0.10940240268100752,0.1107585241094057,-0.03821820065998563,-0.039047660882497434,-0.03738801062871062,0.24406416897402355,40,0.13262509619310076,0.08754181259482284
A,oracle_prior,clock_quality_evidence_k16,phi_k16,0.7501474319716768,0.6862784367248516,0.63,0.6576538124790676,16,clock_quality_evidence,62,0.11006719731464362,0.10938633649551775,0.11074255524697947,-0.03819615478846335,-0.039026595168325,-0.03736323410812475,0.24406416897402355,40,0.13262356537669479,0.08751082925259251
A,posterior_mean,clock_quality_evidence_k16,phi_k16,0.7501474319716768,0.6862784367248516,0.63,0.6576538124790676,16,clock_quality_evidence,62,0.11072870083037378,0.11003757896141905,0.11140625690371962,-0.037592998784886186,-0.03843507008234156,-0.03675513079360826,0.24406416897402355,40,0.13334408366194622,0.08811331799880136
A,posterior_mean_shrunk,clock_quality_evidence_k16,phi_k16,0.7501474319716768,0.6862784367248516,0.63,0.6576538124790676,16,clock_quality_evidence,62,0.11010622074566165,0.10942440731538226,0.11078081610103255,-0.03816478626146073,-0.03899441308712994,-0.03733489807775186,0.24406416897402355,40,0.13266729249074632,0.08754514900057693
A,empirical,clock_k16,phi_k16_clock,0.6758740555849885,0.6326922875743255,0.64,0.5864503682458239,16,clock,11,0.11689432483898199,0.11614848860772327,0.11763052619062364,-0.031692836158623505,-0.032572610083589096,-0.03081679563776561,0.28444875236013445,40,0.13785372402604115,0.09593492565192283
A,lcb,clock_k16,phi_k16_clock,0.6758740555849885,0.6326922875743255,0.64,0.5864503682458239,16,clock,11,0.11289318148489765,0.11220002258603927,0.11358946709064184,-0.03540847356904978,-0.036267672335552566,-0.03457053652840841,0.28444875236013445,40,0.13549678443941665,0.09028957853037864
A,oracle_prior,clock_k16,phi_k16_clock,0.6758740555849885,0.6326922875743255,0.64,0.5864503682458239,16,clock,11,0.11287078872058265,0.11217642889991111,0.11357081126843696,-0.03539256338252435,-0.03624884435150307,-0.03455122149534873,0.28444875236013445,40,0.13547859021398617,0.0902629872271791
A,posterior_mean,clock_k16,phi_k16_clock,0.6758740555849885,0.6326922875743255,0.64,0.5864503682458239,16,clock,11,0.11290945457551352,0.11221474162426603,0.11361111091828206,-0.03541224503974645,-0.0362667145467276,-0.03457580033304111,0.28444875236013445,40,0.13552725301786703,0.09029165613316
A,posterior_mean_shrunk,clock_k16,phi_k16_clock,0.6758740555849885,0.6326922875743255,0.64,0.5864503682458239,16,clock,11,0.11288926145095105,0.11219425117007632,0.11358861708824405,-0.03538174555617133,-0.03624041155759187,-0.03454539310361725,0.28444875236013445,40,0.13549519191134168,0.09028333099056035
A,empirical,clock_quality_k16,phi_k16_quality,0.7495152607201386,0.6873825336082695,0.63,0.6577700838887329,16,clock_quality,35,0.11333886928158536,0.11263208265590947,0.11404602589434944,-0.03524829171602014,-0.03611463952169288,-0.03435787778442318,0.23946507420285473,40,0.13526405882026446,0.09141367974290625
A,lcb,clock_quality_k16,phi_k16_quality,0.7495152607201386,0.6873825336082695,0.63,0.6577700838887329,16,clock_quality,35,0.10997538579480678,0.10929720560379792,0.1106539574729686,-0.03832626925914064,-0.039164471766634956,-0.037481647577878904,0.23946507420285473,40,0.1324163111219488,0.08753446046766475
A,oracle_prior,clock_quality_k16,phi_k16_quality,0.7495152607201386,0.6873825336082695,0.63,0.6577700838887329,16,clock_quality,35,0.10996667369643183,0.10928601142994011,0.11064142686591368,-0.038296678406675166,-0.0391361394750129,-0.037456025698847956,0.23946507420285473,40,0.13243221320233572,0.08750113419052795
A,posterior_mean,clock_quality_k16,phi_k16_quality,0.7495152607201386,0.6873825336082695,0.63,0.6577700838887329,16,clock_quality,35,0.11065282336862947,0.1099686746194493,0.11133780069692875,-0.0376688762466305,-0.038520706730923844,-0.03681924982534838,0.23946507420285473,40,0.13318348356677595,0.08812216317048296
A,posterior_mean_shrunk,clock_quality_k16,phi_k16_quality,0.7495152607201386,0.6873825336082695,0.63,0.6577700838887329,16,clock_quality,35,0.10999233444074123,0.109313252775828,0.11066800587206671,-0.0382786725663811,-0.03912049817314255,-0.037432354948541614,0.23946507420285473,40,0.13244907305411324,0.08753559582736925
A,empirical,clock_quality_cs_k16,phi_k16_cs,0.7502229409014491,0.6860851076484793,0.64,0.6576866165730185,16,clock_quality_cs,61,0.11432181771675205,0.11361027577542701,0.1150454628537409,-0.03426534328085344,-0.035131153751717645,-0.03337341613179888,0.2439916335633642,40,0.1360037391083657,0.0926398963251384
A,lcb,clock_quality_cs_k16,phi_k16_cs,0.7502229409014491,0.6860851076484793,0.64,0.6576866165730185,16,clock_quality_cs,61,0.11008309856168308,0.10940194891889404,0.11075599445153785,-0.038218556492264355,-0.039046245474164604,-0.03738830963891814,0.2439916335633642,40,0.13263538321643645,0.0875308139069297
A,oracle_prior,clock_quality_cs_k16,phi_k16_cs,0.7502229409014491,0.6860851076484793,0.64,0.6576866165730185,16,clock_quality_cs,61,0.11006617643832542,0.10938380137573403,0.11074000659769809,-0.03819717566478157,-0.03903269348149479,-0.03736776143159659,0.2439916335633642,40,0.1326325223119515,0.08749983056469937
A,posterior_mean,clock_quality_cs_k16,phi_k16_cs,0.7502229409014491,0.6860851076484793,0.64,0.6576866165730185,16,clock_quality_cs,61,0.11073142676386598,0.11003813825293036,0.11141024035670852,-0.037590272851394005,-0.038426282653235826,-0.03674957138850004,0.2439916335633642,40,0.133355389391246,0.08810746413648594
A,posterior_mean_shrunk,clock_quality_cs_k16,phi_k16_cs,0.7502229409014491,0.6860851076484793,0.64,0.6576866165730185,16,clock_quality_cs,61,0.11010519986934342,0.10942438972662785,0.11077853524766397,-0.03816580713777894,-0.0389938029798941,-0.03733564825874055,0.2439916335633642,40,0.13267624942600303,0.08753415031268377
A,empirical,all71_k16,phi_k16_all71,0.7502146582663678,0.6864049616895844,0.64,0.6582251300458144,16,all71,71,0.11476612301286622,0.11403393106884323,0.1154901925160084,-0.033821037984739274,-0.03470436370131211,-0.032932335967780085,0.2506616745808665,40,0.13618562203751572,0.09334662398821675
A,lcb,all71_k16,phi_k16_all71,0.7502146582663678,0.6864049616895844,0.64,0.6582251300458144,16,all71,71,0.10992624204120913,0.10924381406483008,0.11060145234856464,-0.038375413012738314,-0.03920629603686394,-0.03753569936154236,0.2506616745808665,40,0.1324733423102232,0.087379141772195
