row,policy,reference,test,horizon,delta,lo,hi,se,win,n_cells,n_episodes,n_envs,cluster_lo,cluster_hi,cluster_se,cluster_p,cluster_p_sign,cluster_boot_t_lo,cluster_boot_t_hi,cluster_pct_lo,cluster_pct_hi,cluster_min_env,cluster_max_env,cluster_degenerate,cluster_method,p_holm,mei,verdict,as_registered
primary,adaptive_K_star,fixed_K_star,robust,all,-0.0007602696167770773,-0.0015114403824448694,-7.591826937601421e-06,0.0003823874279664802,0.5057,90,45000,30,-0.0019126549756685845,0.0003921157421144293,0.0005634503505874454,0.1876781556741716,,-0.0018701476308342702,0.0004737196343896938,-0.001825819799201045,0.00037811493824352506,,,False,env_mean_t,,0.002,refuted,True
secondary,adaptive_K_star,fixed_K_star,robust,50,-0.0016839920264513548,-0.0032916868433185546,-7.154703051977385e-05,0.0008284287038091599,0.5099666666666667,30,15000,30,-0.004244570876690867,0.0008765868237881576,0.001251976207214276,0.18902864168872263,,-0.004184252226867391,0.0009995878167616274,-0.004008973679724148,0.0008284848672628866,,,False,env_mean_t,0.567085925066168,0.002,,True
secondary,adaptive_K_star,fixed_K_star,robust,100,0.00022475910230229301,-0.0008715770722211647,0.0013418959543683258,0.0005624225260143225,0.5037666666666667,30,15000,30,-0.0011641941457830865,0.0016137123503876727,0.000679118481109545,0.7430563968711987,,-0.0010434449414444783,0.0018117626410359495,-0.0010688499850671116,0.0015739159298144901,,,False,env_mean_t,0.7430563968711987,0.002,,True
secondary,adaptive_K_star,fixed_K_star,robust,200,-0.0008215759261821706,-0.0019329218489211048,0.00026881266209607306,0.00056013073076876,0.5033666666666666,30,15000,30,-0.002081308714559852,0.0004381568621955108,0.000615937087174265,0.1926303174815685,,-0.002241185195768872,0.0003071225149432176,-0.002062490367690722,0.00027517782256783284,,,False,env_mean_t,0.567085925066168,0.002,,True
structural,adaptive_K_star,fixed_K_star,robust,500,0.0,0.0,0.0,0.0,0.5,30,15000,30,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,,,False,env_mean_t,,0.002,,True
structural,adaptive_K_star,fixed_K_star,robust,1000,0.0,0.0,0.0,0.0,0.5,30,15000,30,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,,,False,env_mean_t,,0.002,,True
