level,split,env_id,horizon,cap,base_seed,alpha,c,b,n_envs,n_episodes,regret,regret_se,k_final,search_frac,is_argmin
env,val,beta_good_common,100,64,5004000,0.5,3.0,8.0,1,2000,0.06807037225365639,0.0013932530237758239,19.3105,0.1766377551020408,False
env,val,beta_good_common,100,64,5004000,0.5,4.0,2.0,1,2000,0.07526367655396461,0.001555571438984476,35.722,0.3441020408163265,False
env,val,beta_good_common,100,64,5004000,0.5,4.0,4.0,1,2000,0.07459572142362594,0.0015511960817840768,31.6575,0.3026275510204081,False
env,val,beta_good_common,100,64,5004000,0.5,6.0,0.0,1,2000,0.09790436732769013,0.0018154729623605368,60.0,0.5918367346938778,False
env,val,beta_good_common,100,64,5004000,0.5,4.0,6.0,1,2000,0.0729130522608757,0.0015181612177210908,28.041,0.2657244897959184,False
env,val,beta_good_common,100,64,5004000,0.5,4.0,8.0,1,2000,0.07089456748962403,0.001482059059121821,24.8455,0.2331173469387755,False
env,val,beta_good_common,100,64,5004000,0.5,6.0,2.0,1,2000,0.09076478019356728,0.0017732242713198445,53.014,0.5205510204081634,False
env,val,beta_good_common,100,64,5004000,0.5,6.0,4.0,1,2000,0.08500952377915383,0.0017006935861197258,46.739,0.4565204081632653,False
env,val,beta_good_common,100,64,5004000,0.5,6.0,6.0,1,2000,0.08015134920179844,0.0016206415524372703,41.016,0.3981224489795918,False
env,val,beta_good_common,100,64,5004000,0.5,8.0,0.0,1,2000,0.10234859672188759,0.0018684319530329402,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.5,8.0,2.0,1,2000,0.10234859672188759,0.0018684319530329402,63.9985,0.632637755102041,False
env,val,beta_good_common,100,64,5004000,0.5,6.0,8.0,1,2000,0.07726567229628563,0.0015738755970221858,36.097,0.34792857142857136,False
env,val,beta_good_common,100,64,5004000,0.5,8.0,4.0,1,2000,0.09908491939306259,0.0018505714887556075,60.525,0.5971938775510205,False
env,val,beta_good_common,100,64,5004000,0.5,8.0,8.0,1,2000,0.08548524370789527,0.0017147818842559515,47.3675,0.46293367346938774,False
