test,recommender,level,family,horizon,cell,env_id,cap,base_seed,hypothesis,pre_registered,label,policy,reference,status,delta,lo,hi,se,win,n_cells,n_episodes,n_envs,cluster_lo,cluster_hi,cluster_degenerate,evaluated,ref_tuned,n_cells_excluded_untuned,params_tuned,n_boot
A,posterior_mean_shrunk,family_horizon,B,50,,,,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-0.0013220696107600818,-0.003314378438224958,0.0006969034526147879,0.0010291417523294048,0.5075625,4,8000,4,-0.006364803005591967,0.007025574908591807,False,True,True,0,True,10000
A,posterior_mean_shrunk,family_horizon,B,50,,,,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,0.00017769180110190064,-0.00022531763586739514,0.0005845921430038285,0.00020412002362354997,0.49993750000000003,4,8000,4,-0.0001543979236157611,0.0006233805790543557,False,True,True,0,True,10000
A,posterior_mean_shrunk,family_horizon,B,100,,,,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.03662702384957811,-0.03940837725646997,-0.03385459376120998,0.0014042490431567301,0.5948125000000001,4,8000,4,-0.07573317180015146,-0.011257725380361079,False,True,True,0,True,10000
A,posterior_mean_shrunk,family_horizon,B,100,,,,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-0.0012957442748593167,-0.003251716773046064,0.0006597048271854868,0.000998211753334586,0.5095625,4,8000,4,-0.004548290237784386,0.00224105470685754,False,True,True,0,True,10000
A,posterior_mean_shrunk,family_horizon,B,100,,,,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,-0.000180841910187155,-0.0008189375145593657,0.00047739812395302577,0.00032970099169803184,0.5018125,4,8000,4,-0.0004564270079135895,9.474318753927947e-05,False,True,True,0,True,10000
A,posterior_mean_shrunk,family_horizon,B,200,,,,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.03383943818890839,-0.03616659870553995,-0.03148202445664429,0.0011975689899634575,0.60025,4,8000,4,-0.06513198474422098,-0.005234215497970581,False,True,True,0,True,10000
A,posterior_mean_shrunk,family_horizon,B,200,,,,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-0.0004631093591451645,-0.0014807799562811849,0.0005339750848710537,0.0005167029547199602,0.5041875,4,8000,4,-0.0049071510583162305,0.004050598978996277,False,True,True,0,True,10000
A,posterior_mean_shrunk,family_horizon,B,200,,,,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,-2.264314517378807e-05,-0.0005469587732106447,0.0004901733317412436,0.00026476497356106083,0.500875,4,8000,4,-0.00031422967836260797,0.00019303689152002333,False,True,True,0,True,10000
A,posterior_mean_shrunk,family_horizon,B,500,,,,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.032961403085850174,-0.0347821588195162,-0.03116100168467965,0.0009214233633992388,0.6196250000000001,4,8000,4,-0.06317686845175922,-0.002745937719941139,False,True,True,0,True,10000
A,posterior_mean_shrunk,family_horizon,B,500,,,,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-0.000262684129178524,-0.0005388483343645931,1.1410564929246794e-05,0.00014122618679405095,0.502625,4,8000,4,-0.0007359739691019057,0.0,False,True,True,0,True,10000
