level,split,env_id,family,horizon,cap,base_seed,K,n_envs,n_episodes,regret,regret_se,regret_disc,regret_sel,k_final,search_frac,k_star,is_argmin
env,val,beta_good_common,A,200,200,5008000,4,1,500,0.12131919336318969,0.0035253545471066777,0.11510240006446838,0.006216793298721313,4.0,0.0101010101010101,32,False
env,val,beta_good_common,A,200,200,5008000,6,1,500,0.09811702942848205,0.0030634144867560803,0.09040115177631378,0.007715877652168274,6.0,0.0202020202020202,32,False
env,val,beta_good_common,A,200,200,5008000,8,1,500,0.08260696172714234,0.0025887100927178518,0.07234776735305787,0.010259194374084473,8.0,0.030303030303030293,32,False
env,val,beta_good_common,A,200,200,5008000,10,1,500,0.07349330544471741,0.0023976829850323412,0.061702433586120604,0.011790871858596801,10.0,0.0404040404040404,32,False
env,val,beta_good_common,A,200,200,5008000,12,1,500,0.06805719828605652,0.0022810374151438725,0.05503056490421295,0.013026633381843566,12.0,0.050505050505050504,32,False
env,val,beta_good_common,A,200,200,5008000,14,1,500,0.06708698296546936,0.0023327723223989026,0.049624358415603635,0.017462624549865722,14.0,0.06060606060606059,32,False
env,val,beta_good_common,A,200,200,5008000,16,1,500,0.06466888880729675,0.0023638358027729275,0.04488415014743805,0.019784738659858702,16.0,0.07070707070707072,32,False
env,val,beta_good_common,A,200,200,5008000,18,1,500,0.06263722848892211,0.0022571367821639246,0.04160047936439514,0.021036749124526976,18.0,0.0808080808080808,32,False
env,val,beta_good_common,A,200,200,5008000,20,1,500,0.05913753628730774,0.0022544538805427646,0.03808385968208313,0.02105367660522461,20.0,0.09090909090909091,32,False
env,val,beta_good_common,A,200,200,5008000,24,1,500,0.057972797513008115,0.0022121587082241504,0.033697795033454894,0.024275002479553224,24.0,0.11111111111111115,32,False
env,val,beta_good_common,A,200,200,5008000,28,1,500,0.05351632976531982,0.002041039656755611,0.02919821512699127,0.02431811463832855,28.0,0.1313131313131313,32,False
env,val,beta_good_common,A,200,200,5008000,32,1,500,0.05270412611961365,0.00205200582528812,0.026004159212112427,0.026699966907501222,32.0,0.15151515151515152,32,True
env,val,beta_good_common,A,200,200,5008000,36,1,500,0.05467661762237549,0.002153109382068339,0.023471930623054506,0.031204686999320982,36.0,0.1717171717171717,32,False
env,val,beta_good_common,A,200,200,5008000,40,1,500,0.05324032723903656,0.00211875562430847,0.021040048599243164,0.0322002786397934,40.0,0.1919191919191919,32,False
