row,policy,reference,test,horizon,delta,lo,hi,se,win,n_cells,n_episodes,n_envs,cluster_lo,cluster_hi,cluster_se,cluster_p,cluster_p_sign,cluster_boot_t_lo,cluster_boot_t_hi,cluster_pct_lo,cluster_pct_hi,cluster_min_env,cluster_max_env,cluster_degenerate,cluster_method,p_holm,mei,rule,verdict,as_registered
primary,level_star,p3_star,capc,all,0.00519992145895958,0.0038361164620767047,0.006587406536005438,0.0006970779103656812,0.48666666666666664,6,12000,3,,,,,,,,,,7.736422121524812e-05,0.00853250227868557,True,range,,0.002,not_better,supported,True
secondary,level_star,p3_star,capc,200,0.007819365700085958,0.0052370826251804834,0.010383907806997496,0.00132733536245131,0.4871666666666667,3,6000,3,,,,,,,,,,0.000977158099412918,0.013666124731302262,True,range,1.0,0.002,not_better,,True
secondary,level_star,p3_star,capc,1000,0.0025804772178332014,0.0017679068610072135,0.003391130689779917,0.0004166246362672818,0.48616666666666664,3,6000,3,,,,,,,,,,-0.0008224296569824219,0.008250190287828446,True,range,1.0,0.002,not_better,,True
