level,split,env_id,horizon,cap,base_seed,alpha,c,b,n_envs,n_episodes,regret,regret_se,k_final,search_frac,is_argmin
env,val,beta_rare_excellent,1000,1000,5059000,0.5,3.0,2.0,1,500,0.15216349068284035,0.004707726724484359,173.028,0.1713707414829659,False
env,val,beta_rare_excellent,1000,1000,5059000,0.5,3.0,4.0,1,500,0.1671771350055933,0.005303507930623449,273.048,0.27159118236472946,False
env,val,beta_good_common,1000,1000,5014000,0.75,3.0,2.0,1,500,0.03405140423774719,0.0013245149720040735,464.238,0.4631643286573146,False
env,val,beta_rare_excellent,1000,1000,5059000,0.5,6.0,0.0,1,500,0.1515762016773224,0.004773270657639695,190.0,0.18837675350701402,False
env,val,beta_good_common,1000,1000,5014000,0.75,3.0,4.0,1,500,0.03240357637405396,0.0012893672660371648,403.574,0.4023787575150301,False
env,val,beta_rare_excellent,1000,1000,5059000,0.5,4.0,2.0,1,500,0.14947488026320935,0.0049279918122105415,221.352,0.21979158316633265,False
env,val,beta_good_common,1000,1000,5014000,0.75,3.0,6.0,1,500,0.03043220818042755,0.0012405493159507945,351.234,0.34993386773547097,False
env,val,beta_rare_excellent,1000,1000,5059000,0.5,3.0,6.0,1,500,0.1594856394380331,0.005293522736966141,378.052,0.3768056112224449,False
env,val,beta_good_common,1000,1000,5014000,0.75,3.0,8.0,1,500,0.02928699254989624,0.001228116189465638,305.774,0.3043827655310621,False
env,val,beta_rare_excellent,1000,1000,5059000,0.5,4.0,4.0,1,500,0.1607436160594225,0.005262769444997936,333.774,0.33243887775551106,False
env,val,beta_rare_excellent,1000,1000,5059000,0.5,3.0,8.0,1,500,0.19469799856841563,0.0055830107850661686,487.64,0.4866132264529058,False
env,val,beta_rare_excellent,1000,1000,5059000,0.5,8.0,0.0,1,500,0.1531176376193762,0.005016684315054712,253.0,0.2515030060120241,False
env,val,beta_rare_excellent,1000,1000,5059000,0.5,4.0,6.0,1,500,0.1966253706663847,0.005499680787218083,455.406,0.454314629258517,False
env,val,beta_rare_excellent,1000,1000,5059000,0.75,1.0,0.0,1,500,0.14894405964016916,0.004648920004731539,178.0,0.17635270541082168,False
env,val,beta_rare_excellent,1000,1000,5059000,0.5,4.0,8.0,1,500,0.19371918250620365,0.005525284088842635,565.778,0.5649078156312625,False
env,val,beta_rare_excellent,1000,1000,5059000,0.5,6.0,2.0,1,500,0.15933983299136162,0.005185772754630644,312.636,0.3112585170340681,False
env,val,beta_rare_excellent,1000,1000,5059000,0.5,6.0,4.0,1,500,0.19867337270081042,0.00549835626749549,449.188,0.4480841683366733,False
env,val,beta_rare_excellent,1000,1000,5059000,0.5,8.0,2.0,1,500,0.17372482879459858,0.005444457498736145,398.508,0.3973026052104208,False
env,val,beta_rare_excellent,1000,1000,5059000,0.75,1.0,2.0,1,500,0.16429607740044594,0.005236280978300335,296.528,0.2951182364729459,False
env,val,beta_rare_excellent,1000,1000,5059000,0.75,1.5,0.0,1,500,0.1609450109899044,0.005214817597952354,267.0,0.2655310621242486,False
env,val,beta_rare_excellent,1000,1000,5059000,0.5,6.0,8.0,1,500,0.18564133264124394,0.005631770474502839,711.156,0.7105771543086173,False
env,val,beta_rare_excellent,1000,1000,5059000,0.5,6.0,6.0,1,500,0.19306990626454354,0.005551103749785668,576.614,0.5757655310621241,False
env,val,beta_rare_excellent,1000,1000,5059000,0.5,8.0,4.0,1,500,0.19501694382727147,0.00561193160745952,544.474,0.543561122244489,False
env,val,beta_rare_excellent,1000,1000,5059000,0.75,1.0,4.0,1,500,0.1836639031469822,0.005643574677695515,428.88,0.42773547094188374,False
env,val,beta_rare_excellent,1000,1000,5059000,0.5,8.0,6.0,1,500,0.18788364969193935,0.005616800181427229,691.652,0.6910340681362724,False
env,val,beta_rare_excellent,1000,1000,5059000,0.5,8.0,8.0,1,500,0.19144182023406028,0.005818166984440289,847.892,0.8475871743486973,False
env,val,beta_rare_excellent,1000,1000,5059000,0.75,2.0,0.0,1,500,0.15861051492393016,0.005309892074041,356.0,0.3547094188376753,False
env,val,beta_rare_excellent,1000,1000,5059000,0.75,1.5,2.0,1,500,0.17997808343172073,0.005516044963116545,416.742,0.4155731462925851,False
env,val,beta_rare_excellent,1000,1000,5059000,0.75,1.0,6.0,1,500,0.19466327579319478,0.00560049595700961,554.416,0.5535230460921844,False
env,val,beta_rare_excellent,1000,1000,5059000,0.75,1.0,8.0,1,500,0.18689302541315556,0.00559068369125938,684.722,0.6840901803607214,False
