test,recommender,level,family,horizon,cell,env_id,cap,base_seed,hypothesis,pre_registered,label,policy,reference,status,delta,lo,hi,se,win,n_cells,n_episodes,n_envs,cluster_lo,cluster_hi,cluster_degenerate,evaluated,ref_tuned,n_cells_excluded_untuned,params_tuned,n_boot
B,posterior_mean_shrunk,family_horizon,A,50,,,,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.042767882544585516,-0.04646730133164624,-0.039136072838743124,0.0018602516520386475,0.57125,4,8000,4,-0.09707042435866788,-0.01339721090867897,False,True,True,0,True,10000
B,posterior_mean_shrunk,family_horizon,A,50,,,,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-0.004359187333022419,-0.006966522154754784,-0.001803456295748766,0.0013187117921320774,0.5020625,4,8000,4,-0.01173371168138692,0.0018986290312750496,False,True,True,0,True,10000
B,posterior_mean_shrunk,family_horizon,A,50,,,,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,not_evaluated:phi_k16_quality,,,,,,0,0,0,,,False,False,True,0,True,10000
B,posterior_mean_shrunk,family_horizon,A,100,,,,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.044553814514016264,-0.04806308705788687,-0.04105755664554891,0.00178044194928466,0.5864375,4,8000,4,-0.09756795724801487,-0.011983957543969154,False,True,True,0,True,10000
B,posterior_mean_shrunk,family_horizon,A,100,,,,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-0.006837350121175404,-0.009533367725275455,-0.004190550107663149,0.0013474683983505237,0.515875,4,8000,4,-0.014111570319568272,-0.0017284000598592683,False,True,True,0,True,10000
B,posterior_mean_shrunk,family_horizon,A,100,,,,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,not_evaluated:phi_k16_quality,,,,,,0,0,0,,,False,False,True,0,True,10000
B,posterior_mean_shrunk,family_horizon,A,200,,,,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.046500093539943915,-0.049456364383094475,-0.04356915960724,0.0015038649432255905,0.602375,4,8000,4,-0.10218016530107707,-0.010696965649724006,False,True,True,0,True,10000
B,posterior_mean_shrunk,family_horizon,A,200,,,,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-0.0003116942383348942,-0.0015144893453456455,0.0009013117977417996,0.000622827211870227,0.500375,4,8000,4,-0.002340782627463341,0.0014395819790661334,False,True,True,0,True,10000
B,posterior_mean_shrunk,family_horizon,A,200,,,,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,not_evaluated:phi_k16_quality,,,,,,0,0,0,,,False,False,True,0,True,10000
B,posterior_mean_shrunk,family_horizon,A,500,,,,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.04534291249979287,-0.04760447146305814,-0.043024356027925384,0.001175907680799142,0.6327499999999999,4,8000,4,-0.08691349030844867,-0.015969483733177185,False,True,True,0,True,10000
B,posterior_mean_shrunk,family_horizon,A,500,,,,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,0.0009631931483745575,0.0006258734332397581,0.001305268676765263,0.00017283334762320418,0.48824999999999996,4,8000,4,-2.3212842643260958e-05,0.0029127922877669335,False,True,True,0,True,10000
B,posterior_mean_shrunk,family_horizon,A,500,,,,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,not_evaluated:phi_k16_quality,,,,,,0,0,0,,,False,False,True,0,True,10000
B,posterior_mean_shrunk,family_horizon,A,1000,,,,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.03790545856859535,-0.03969029366094619,-0.036167511800373905,0.0008871725455433549,0.6464375,4,8000,4,-0.06458927528001368,-0.015287712156772614,False,True,True,0,True,10000
B,posterior_mean_shrunk,family_horizon,A,1000,,,,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,0.0,0.0,0.0,0.0,0.5,4,8000,4,0.0,0.0,False,True,True,0,True,10000
B,posterior_mean_shrunk,family_horizon,A,1000,,,,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,not_evaluated:phi_k16_quality,,,,,,0,0,0,,,False,False,True,0,True,10000
B,posterior_mean_shrunk,family_horizon,B,50,,,,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.03725913013354876,-0.04053499559293122,-0.03396874609569641,0.0016840518590599198,0.5734374999999999,4,8000,4,-0.07012167550576852,-0.01337530681490898,False,True,True,0,True,10000
B,posterior_mean_shrunk,family_horizon,B,50,,,,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-0.0013220696107600818,-0.003314378438224958,0.0006969034526147879,0.0010291417523294048,0.5075625,4,8000,4,-0.006364803005591967,0.007025574908591807,False,True,True,0,True,10000
B,posterior_mean_shrunk,family_horizon,B,50,,,,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,not_evaluated:phi_k16_quality,,,,,,0,0,0,,,False,False,True,0,True,10000
B,posterior_mean_shrunk,family_horizon,B,100,,,,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.03662702384957811,-0.03940837725646997,-0.03385459376120998,0.0014042490431567301,0.5948125000000001,4,8000,4,-0.07573317180015146,-0.011257725380361079,False,True,True,0,True,10000
B,posterior_mean_shrunk,family_horizon,B,100,,,,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-0.0012957442748593167,-0.003251716773046064,0.0006597048271854868,0.000998211753334586,0.5095625,4,8000,4,-0.004548290237784386,0.00224105470685754,False,True,True,0,True,10000
B,posterior_mean_shrunk,family_horizon,B,100,,,,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,not_evaluated:phi_k16_quality,,,,,,0,0,0,,,False,False,True,0,True,10000
B,posterior_mean_shrunk,family_horizon,B,200,,,,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.03383943818890839,-0.03616659870553995,-0.03148202445664429,0.0011975689899634575,0.60025,4,8000,4,-0.06513198474422098,-0.005234215497970581,False,True,True,0,True,10000
B,posterior_mean_shrunk,family_horizon,B,200,,,,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-0.0004631093591451645,-0.0014807799562811849,0.0005339750848710537,0.0005167029547199602,0.5041875,4,8000,4,-0.0049071510583162305,0.004050598978996277,False,True,True,0,True,10000
B,posterior_mean_shrunk,family_horizon,B,200,,,,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,not_evaluated:phi_k16_quality,,,,,,0,0,0,,,False,False,True,0,True,10000
B,posterior_mean_shrunk,family_horizon,B,500,,,,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.032961403085850174,-0.0347821588195162,-0.03116100168467965,0.0009214233633992388,0.6196250000000001,4,8000,4,-0.06317686845175922,-0.002745937719941139,False,True,True,0,True,10000
B,posterior_mean_shrunk,family_horizon,B,500,,,,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-0.000262684129178524,-0.0005388483343645931,1.1410564929246794e-05,0.00014122618679405095,0.502625,4,8000,4,-0.0007359739691019057,0.0,False,True,True,0,True,10000
B,posterior_mean_shrunk,family_horizon,B,500,,,,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,not_evaluated:phi_k16_quality,,,,,,0,0,0,,,False,False,True,0,True,10000
B,posterior_mean_shrunk,family_horizon,B,1000,,,,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.023890705689787864,-0.025216937449923718,-0.02261714900506195,0.0006620297540077434,0.6154375000000001,4,8000,4,-0.045808654755353936,-0.001972756624221802,False,True,True,0,True,10000
B,posterior_mean_shrunk,family_horizon,B,1000,,,,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-1.4831870794296264e-06,-9.24379490315914e-06,4.673224687576292e-06,3.5620604684215208e-06,0.49975,4,8000,4,-8.222714066505432e-06,3.7731528282165526e-06,False,True,True,0,True,10000
B,posterior_mean_shrunk,family_horizon,B,1000,,,,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,not_evaluated:phi_k16_quality,,,,,,0,0,0,,,False,False,True,0,True,10000
B,posterior_mean_shrunk,family,A,all,,,,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.043414032333386775,-0.04469493012735239,-0.042104005027377094,0.0006591640446240014,0.60785,20,40000,4,-0.0891316981996908,-0.013609339447319508,False,True,True,0,True,10000
B,posterior_mean_shrunk,family,A,all,,,,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-0.002109007708831632,-0.002875726987715679,-0.00131730488857571,0.00040331707504059867,0.5013124999999999,20,40000,4,-0.004969600066156999,0.00022515381691337095,False,True,True,0,True,10000
B,posterior_mean_shrunk,family,A,all,,,,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,not_evaluated:phi_k16_quality,,,,,,0,0,0,,,False,False,True,0,True,10000
B,posterior_mean_shrunk,family,B,all,,,,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.03291554018953466,-0.03398385351806951,-0.031865843437852016,0.0005448047881528272,0.6007125,20,40000,4,-0.06041400094358251,-0.006917188407480718,False,True,True,0,True,10000
B,posterior_mean_shrunk,family,B,all,,,,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-0.0006690181122045032,-0.0012634827862883688,-5.5088816705392976e-05,0.0003080072712236538,0.5047374999999998,20,40000,4,-0.002980725701048505,0.0020977136621251704,False,True,True,0,True,10000
B,posterior_mean_shrunk,family,B,all,,,,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,not_evaluated:phi_k16_quality,,,,,,0,0,0,,,False,False,True,0,True,10000
B,posterior_mean_shrunk,horizon,all,50,,,,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.04001350633906713,-0.04248742406817533,-0.0375830212621082,0.0012494585815122942,0.5723437499999999,8,16000,8,-0.06959766479555816,-0.015999702539178543,False,True,True,0,True,10000
B,posterior_mean_shrunk,horizon,all,50,,,,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-0.0028406284718912505,-0.004471683100684458,-0.001214074062253076,0.0008327058783183353,0.5048125,8,16000,8,-0.007808736083097756,0.0024060578407975298,False,True,True,0,True,10000
B,posterior_mean_shrunk,horizon,all,50,,,,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,not_evaluated:phi_k16_quality,,,,,,0,0,0,,,False,False,True,0,True,10000
B,posterior_mean_shrunk,horizon,all,100,,,,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.04059041918179719,-0.0428386657043382,-0.038339985243167035,0.0011445207810920283,0.590625,8,16000,8,-0.07223731975333067,-0.015182650849805215,False,True,True,0,True,10000
B,posterior_mean_shrunk,horizon,all,100,,,,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-0.0040665471980173605,-0.005739797649379034,-0.00245065416399666,0.0008416618679612536,0.51271875,8,16000,8,-0.008551826122080821,-0.0003535543126468852,False,True,True,0,True,10000
B,posterior_mean_shrunk,horizon,all,100,,,,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,not_evaluated:phi_k16_quality,,,,,,0,0,0,,,False,False,True,0,True,10000
B,posterior_mean_shrunk,horizon,all,200,,,,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.04016976586442615,-0.04203757463875263,-0.03833732815188996,0.0009568000150486028,0.6013124999999999,8,16000,8,-0.0729932070332208,-0.013776117237173098,False,True,True,0,True,10000
B,posterior_mean_shrunk,horizon,all,200,,,,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-0.00038740179874002936,-0.0011789391689002514,0.00040379318441264325,0.00040299470359635354,0.50228125,8,16000,8,-0.0027341461312025785,0.00190436760499142,False,True,True,0,True,10000
B,posterior_mean_shrunk,horizon,all,200,,,,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,not_evaluated:phi_k16_quality,,,,,,0,0,0,,,False,False,True,0,True,10000
B,posterior_mean_shrunk,horizon,all,500,,,,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.039152157792821524,-0.040630251889646744,-0.03770604586116969,0.0007434392551404675,0.6261875,8,16000,8,-0.06430413239588961,-0.017129949150863116,False,True,True,0,True,10000
