row,policy,reference,test,horizon,delta,lo,hi,se,win,n_cells,n_episodes,n_envs,cluster_lo,cluster_hi,cluster_se,cluster_p,cluster_p_sign,cluster_boot_t_lo,cluster_boot_t_hi,cluster_pct_lo,cluster_pct_hi,cluster_min_env,cluster_max_env,cluster_degenerate,cluster_method,p_holm,mei,rule,verdict,as_registered
primary,phi_k4,p3_star,capc,all,0.035038063362240794,0.03331030291207135,0.036738213151879605,0.0008704777372550023,0.36916666666666664,6,12000,3,,,,,,,,,,0.01023171529918909,0.05512738812714815,True,range,,0.002,not_better,supported,True
secondary,phi_k4,p3_star,capc,200,0.002835588723421097,0.00044002117390433984,0.0052102717773367955,0.0012143641938561092,0.5018333333333334,3,6000,3,,,,,,,,,,-0.0017690728753805161,0.0071945471167564395,True,range,1.0,0.002,not_better,,True
secondary,phi_k4,p3_star,capc,1000,0.06724053800106049,0.06481304188619058,0.0697040539484471,0.001243370751048421,0.23650000000000002,3,6000,3,,,,,,,,,,0.022232503473758696,0.10717348432540894,True,range,1.0,0.002,not_better,,True
