level,split,env_id,horizon,cap,base_seed,theta,alpha,c,n_envs,n_episodes,regret,regret_se,k_final,search_frac,is_argmin
env,val,beta_rare_excellent,50,64,5046000,0.55,0.5,8.0,1,2000,0.17450631883600726,0.0028002559401870907,32.7475,0.6405729166666666,False
env,val,beta_good_common,200,64,5007000,0.7,0.5,8.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.7,0.75,1.0,1,2000,0.056923432558774946,0.0011870608867809247,54.0,0.2626262626262626,False
env,val,beta_rare_excellent,50,64,5046000,0.55,0.75,1.0,1,2000,0.16502937532868237,0.0027442146410175993,18.4165,0.34201041666666676,False
env,val,beta_rare_excellent,50,64,5046000,0.55,0.75,1.5,1,2000,0.16879732317500748,0.0027176701390123448,26.0265,0.5005520833333333,False
env,val,beta_rare_excellent,50,64,5046000,0.55,0.75,2.0,1,2000,0.16689776537148282,0.00275692238305614,30.847,0.6009791666666666,False
env,val,beta_rare_excellent,50,64,5046000,0.6,0.5,3.0,1,2000,0.16827448014193214,0.0027147191607697365,21.2265,0.4005520833333334,False
env,val,beta_rare_excellent,50,64,5046000,0.6,0.5,4.0,1,2000,0.16892553924419917,0.002711705781702436,26.451,0.5093958333333334,False
env,val,beta_rare_excellent,50,64,5046000,0.55,0.75,3.0,1,2000,0.17450631883600726,0.0028002559401870907,32.7475,0.6405729166666666,False
env,val,beta_good_common,200,64,5007000,0.7,0.75,1.5,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_rare_excellent,50,64,5046000,0.6,0.5,6.0,1,2000,0.17318644033744932,0.002780926850166857,32.9135,0.64403125,False
env,val,beta_rare_excellent,50,64,5046000,0.6,0.75,1.0,1,2000,0.16533511453773828,0.0027383570468031988,18.6115,0.3460729166666667,False
env,val,beta_rare_excellent,50,64,5046000,0.6,0.75,1.5,1,2000,0.16892553924419917,0.002711705781702436,26.451,0.5093958333333334,False
env,val,beta_rare_excellent,50,64,5046000,0.6,0.5,8.0,1,2000,0.1749054060098715,0.002800410231630019,33.257,0.6511875,False
env,val,beta_good_common,200,64,5007000,0.7,0.75,2.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_rare_excellent,50,64,5046000,0.6,0.75,2.0,1,2000,0.16718461023038253,0.002751322909665399,31.3455,0.6113645833333333,False
env,val,beta_good_common,200,64,5007000,0.7,0.75,3.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_rare_excellent,50,64,5046000,0.625,0.5,3.0,1,2000,0.16796090842573905,0.002718539282829543,21.6245,0.4088437500000001,False
env,val,beta_rare_excellent,50,64,5046000,0.6,0.75,3.0,1,2000,0.1749054060098715,0.002800410231630019,33.257,0.6511875,False
env,val,beta_rare_excellent,50,64,5046000,0.625,0.5,4.0,1,2000,0.16809598983149043,0.0027143411068988655,27.7145,0.53571875,False
env,val,beta_rare_excellent,50,64,5046000,0.625,0.5,6.0,1,2000,0.17421055798837914,0.0027779135663335342,35.5575,0.6991145833333332,False
env,val,beta_rare_excellent,50,64,5046000,0.625,0.75,1.0,1,2000,0.16569614727701992,0.002736572095705145,18.795,0.34989583333333335,False
env,val,beta_rare_excellent,50,64,5046000,0.625,0.5,8.0,1,2000,0.17595925944577903,0.002797321123457125,35.9095,0.7064479166666667,False
env,val,beta_rare_excellent,50,64,5046000,0.625,0.75,1.5,1,2000,0.16809598983149043,0.0027143411068988655,27.7145,0.53571875,False
env,val,beta_rare_excellent,50,64,5046000,0.625,0.75,2.0,1,2000,0.1668268004786223,0.002744185462925089,33.744,0.6613333333333333,False
env,val,beta_rare_excellent,50,64,5046000,0.625,0.75,3.0,1,2000,0.17595925944577903,0.002797321123457125,35.9095,0.7064479166666667,False
env,val,beta_rare_excellent,50,64,5046000,0.65,0.5,3.0,1,2000,0.16807451657741332,0.002718884106622309,21.689,0.41018750000000004,False
env,val,beta_rare_excellent,50,64,5046000,0.65,0.5,4.0,1,2000,0.16822950840066186,0.002715221441065122,27.809,0.5376875,False
env,val,beta_rare_excellent,50,64,5046000,0.65,0.75,1.0,1,2000,0.1658097554286942,0.0027369616752867007,18.844,0.3509166666666667,False
env,val,beta_rare_excellent,50,64,5046000,0.65,0.75,1.5,1,2000,0.16822950840066186,0.002715221441065122,27.809,0.5376875,False
env,val,beta_rare_excellent,50,64,5046000,0.65,0.5,6.0,1,2000,0.17449989776918665,0.002778104920505379,35.6765,0.70159375,False
env,val,beta_rare_excellent,50,64,5046000,0.65,0.5,8.0,1,2000,0.17624859922658653,0.002797420671448674,36.0285,0.7089270833333333,False
env,val,beta_rare_excellent,50,64,5046000,0.675,0.5,3.0,1,2000,0.16809502394660375,0.0027192738811438683,22.0,0.41666666666666674,False
env,val,beta_rare_excellent,50,64,5046000,0.675,0.5,4.0,1,2000,0.16542714333231562,0.002698456423237492,29.0,0.5625,False
env,val,beta_rare_excellent,50,64,5046000,0.65,0.75,2.0,1,2000,0.1671161402594298,0.0027447685705295558,33.863,0.6638125,False
env,val,beta_rare_excellent,50,64,5046000,0.65,0.75,3.0,1,2000,0.17624859922658653,0.002797420671448674,36.0285,0.7089270833333333,False
env,val,beta_rare_excellent,50,64,5046000,0.675,0.75,1.0,1,2000,0.16534462114516646,0.002736952592340627,19.0,0.3541666666666667,False
env,val,beta_rare_excellent,50,64,5046000,0.675,0.5,6.0,1,2000,0.16415017614816316,0.002727724723716844,43.0,0.8541666666666665,False
env,val,beta_rare_excellent,50,64,5046000,0.675,0.75,1.5,1,2000,0.16542714333231562,0.002698456423237492,29.0,0.5625,False
env,val,beta_rare_excellent,50,64,5046000,0.675,0.5,8.0,1,2000,0.2049431271313224,0.002769416851874459,50.0,1.0,False
env,val,beta_rare_excellent,50,64,5046000,0.7,0.5,3.0,1,2000,0.16809502394660375,0.0027192738811438683,22.0,0.41666666666666674,False
env,val,beta_rare_excellent,50,64,5046000,0.7,0.5,4.0,1,2000,0.16542714333231562,0.002698456423237492,29.0,0.5625,False
env,val,beta_rare_excellent,50,64,5046000,0.675,0.75,2.0,1,2000,0.16098315194272436,0.00271652091440827,38.0,0.75,False
env,val,beta_rare_excellent,50,64,5046000,0.675,0.75,3.0,1,2000,0.2049431271313224,0.002769416851874459,50.0,1.0,False
env,val,beta_rare_excellent,50,64,5046000,0.7,0.75,1.0,1,2000,0.16534462114516646,0.002736952592340627,19.0,0.3541666666666667,False
env,val,beta_rare_excellent,50,64,5046000,0.7,0.75,1.5,1,2000,0.16542714333231562,0.002698456423237492,29.0,0.5625,False
env,val,beta_rare_excellent,50,64,5046000,0.7,0.5,6.0,1,2000,0.16415017614816316,0.002727724723716844,43.0,0.8541666666666665,False
env,val,beta_rare_excellent,50,64,5046000,0.7,0.5,8.0,1,2000,0.2049431271313224,0.002769416851874459,50.0,1.0,False
env,val,beta_rare_excellent,50,64,5046000,0.7,0.75,2.0,1,2000,0.16098315194272436,0.00271652091440827,38.0,0.75,False
env,val,beta_rare_excellent,50,64,5046000,0.7,0.75,3.0,1,2000,0.2049431271313224,0.002769416851874459,50.0,1.0,False
env,val,beta_rare_excellent,100,64,5049000,0.55,0.5,3.0,1,2000,0.1770910647860728,0.0027909131091476973,29.4975,0.28058673469387746,False
