level,split,env_id,horizon,cap,base_seed,alpha,c,b,n_envs,n_episodes,regret,regret_se,k_final,search_frac,is_argmin
env,val,beta_good_common,200,200,5008000,0.5,3.0,0.0,1,500,0.055088269710540774,0.002269023718988751,43.0,0.20707070707070716,False
env,val,beta_good_common,200,200,5008000,0.5,4.0,0.0,1,500,0.05690671193599701,0.0023718692203881417,57.0,0.2777777777777778,False
env,val,beta_good_common,200,200,5008000,0.5,3.0,2.0,1,500,0.05420661532878876,0.0022049695465781965,37.954,0.18158585858585857,False
env,val,beta_good_common,200,200,5008000,0.5,3.0,4.0,1,500,0.05229822158813477,0.002095301591693152,33.706,0.1601313131313131,False
env,val,beta_good_common,200,200,5008000,0.5,3.0,6.0,1,500,0.05355667233467102,0.0021750461312485224,29.878,0.14079797979797978,False
env,val,beta_good_common,200,200,5008000,0.5,3.0,8.0,1,500,0.05306878578662872,0.002115909384881108,26.43,0.12338383838383839,False
env,val,beta_good_common,200,200,5008000,0.5,4.0,4.0,1,500,0.05671187698841095,0.0022944352758625564,44.328,0.21377777777777776,False
env,val,beta_good_common,200,200,5008000,0.5,4.0,2.0,1,500,0.056356985807418825,0.0023570272359587727,50.252,0.2436969696969697,False
env,val,beta_good_common,200,200,5008000,0.5,4.0,6.0,1,500,0.054551782965660094,0.0021953573831023764,39.182,0.18778787878787878,False
env,val,beta_good_common,200,200,5008000,0.5,4.0,8.0,1,500,0.0516722936630249,0.0020000439351277556,34.788,0.16559595959595957,False
env,val,beta_good_common,200,200,5008000,0.5,6.0,0.0,1,500,0.06514140129089356,0.0025260764919486974,85.0,0.4191919191919193,False
env,val,beta_good_common,200,200,5008000,0.5,6.0,2.0,1,500,0.06056811463832855,0.002511258765534206,74.64,0.36686868686868684,False
env,val,beta_good_common,200,200,5008000,0.5,6.0,4.0,1,500,0.05924844944477081,0.002401259868233262,65.568,0.32105050505050503,False
env,val,beta_good_common,200,200,5008000,0.75,1.0,0.0,1,500,0.05803876256942749,0.0024038566590210485,54.0,0.2626262626262626,False
env,val,beta_good_common,200,200,5008000,0.5,8.0,0.0,1,500,0.07585723900794983,0.0029354525900146633,114.0,0.5656565656565657,False
env,val,beta_good_common,200,200,5008000,0.5,6.0,6.0,1,500,0.05820285499095917,0.002307363715319866,57.532,0.28046464646464647,False
env,val,beta_good_common,200,200,5008000,0.5,6.0,8.0,1,500,0.058342833757400514,0.0023406962265477135,50.566,0.2452828282828283,False
env,val,beta_good_common,200,200,5008000,0.75,1.0,2.0,1,500,0.057468414306640625,0.002305530847821582,47.284,0.22870707070707066,False
env,val,beta_good_common,200,200,5008000,0.5,8.0,2.0,1,500,0.06918073225021362,0.002594930087435637,99.078,0.4902929292929293,False
env,val,beta_good_common,200,200,5008000,0.5,8.0,4.0,1,500,0.06593624949455261,0.002572642978251402,86.586,0.4272020202020202,False
env,val,beta_good_common,200,200,5008000,0.5,8.0,6.0,1,500,0.06347482359409332,0.002513544117223118,75.748,0.37246464646464644,False
env,val,beta_good_common,200,200,5008000,0.5,8.0,8.0,1,500,0.05971714055538178,0.002506083502572239,66.586,0.3261919191919192,False
env,val,beta_good_common,200,200,5008000,0.75,1.0,4.0,1,500,0.05377719783782959,0.002146968231734359,41.772,0.20086868686868686,False
env,val,beta_good_common,200,200,5008000,0.75,1.0,6.0,1,500,0.053078264594078065,0.0020966889466821426,37.068,0.1771111111111111,False
env,val,beta_good_common,200,200,5008000,0.75,1.5,0.0,1,500,0.06451503956317901,0.002582897271073519,80.0,0.3939393939393939,False
env,val,beta_good_common,200,200,5008000,0.75,1.0,8.0,1,500,0.052091548085212706,0.002011786037006425,32.838,0.15574747474747475,False
env,val,beta_good_common,200,200,5008000,0.75,1.5,2.0,1,500,0.061066332817077636,0.0024636320840427483,70.278,0.34483838383838383,False
env,val,beta_good_common,200,200,5008000,0.75,1.5,4.0,1,500,0.05892639589309692,0.002389494257632475,61.796,0.302,False
env,val,beta_good_common,200,200,5008000,0.75,2.0,0.0,1,500,0.07505670154094696,0.0028948149293424484,107.0,0.5303030303030303,False
env,val,beta_good_common,200,200,5008000,0.75,1.5,6.0,1,500,0.05800838935375214,0.0022951243401990364,54.226,0.26376767676767676,False
env,val,beta_good_common,200,200,5008000,0.75,1.5,8.0,1,500,0.05600788629055023,0.002296928039047504,47.804,0.2313333333333333,False
