test,cell,policy,env_id,family,horizon,cap,n_on,n_corpus,corpus_scope,n_features,n_features_nonclock,knn_applicable,ood_frac,knn_dist_median,knn_threshold,n_features_standardizable,domain_auc,ood_frac_all,knn_threshold_all,n_features_standardizable_all,domain_auc_all,clock_confounded,domain_auc_CLOCK,domain_auc_QUALITY,domain_auc_EVIDENCE,domain_auc_HISTORY,max_frac_outside,mean_frac_outside,mean_abs_std_shift,max_abs_std_shift,max_ks,worst_feature_by_ks,corpus_score_kind,threshold
A,beta_good_common_T1000_cap64,phi_k16_all71,beta_good_common,A,1000,64,3072,13322,same_horizon,71,60,True,0.4147135416666667,3.889376776933524,4.173685965763104,60,0.9999171549479167,0.462890625,4.394006347052044,70,0.9999771321614583,True,0.9943189290364584,0.993754638671875,0.9967957356770833,0.9147779947916668,0.9537760416666666,0.06842814700704226,0.7758826541911334,3.8642105377216263,0.9537760416666666,f_K,oof,0.1
A,beta_good_common_T100_cap64,phi_k16_all71,beta_good_common,A,100,64,3072,19968,same_horizon,71,60,True,0.4967447916666667,3.3630372583942516,3.3671555756726588,60,0.9994728597005209,0.6627604166666666,3.5399113159539133,70,0.9995964762369792,True,0.95831591796875,0.9652740478515623,0.9783011067708334,0.9579943033854167,0.08561197916666667,0.006093199823943661,0.49925568280119226,1.323406126118298,0.7521534455128205,f_K_over_sqrt_t,oof,0.1
A,beta_good_common_T100_cap64,rule_reservoir,beta_good_common,A,100,64,3072,19968,same_horizon,7,5,True,0.5065104166666666,0.4373075539646732,0.42711657140859954,5,0.9410695393880208,0.6878255208333334,0.642404538402728,7,0.9833260498046874,True,0.9653802490234376,0.9299920654296875,0.718400146484375,,0.5,0.07775297619047618,0.6591915950372693,1.8451769295275053,0.7587640224358975,est_beta_a,none,0.1
A,beta_good_common_T200_cap64,phi_k16_all71,beta_good_common,A,200,64,3072,18127,same_horizon,71,60,True,0.3317057291666667,3.2120835603219184,3.599019124800427,60,0.99967529296875,0.3567708333333333,3.8094549484871836,70,0.9997957356770832,True,0.8576042073567708,0.9640610351562499,0.9809054361979166,0.9076107584635417,0.083984375,0.01584048562206573,0.531564747673342,1.5390441120698748,0.7169799187388518,f_n_singletons,oof,0.1
A,beta_good_common_T200_cap64,rule_reservoir,beta_good_common,A,200,64,3072,18127,same_horizon,7,5,True,0.2828776041666667,0.16017303220204054,0.4506078472812906,5,0.9150840657552083,0.5149739583333334,0.6835983234229537,7,0.9784293619791666,True,0.9463614095052084,0.9135237223307292,0.5547955322265625,,0.7083333333333334,0.10718936011904763,0.6028962131994884,1.9624437694395787,0.779176090914106,f_log_K,none,0.1
A,beta_good_common_T500_cap64,phi_k16_all71,beta_good_common,A,500,64,3072,15763,same_horizon,71,60,True,0.3444010416666667,3.5110834390606382,3.9158917719231416,60,0.9995227864583334,0.4339192708333333,4.120769094355526,70,0.9996460774739583,True,0.9158374837239583,0.987833251953125,0.9850774739583333,0.8914428304036457,0.21256510416666666,0.024166483274647887,0.6818215634677393,2.647072838084599,0.8643659201928567,f_n_singletons,oof,0.1
A,beta_good_common_T500_cap64,rule_reservoir,beta_good_common,A,500,64,3072,15763,same_horizon,7,5,True,0.12532552083333334,0.13272293871282065,0.5014118376227157,5,0.8763286946614582,0.13606770833333334,0.7316034848118386,7,0.98653076171875,True,0.97231787109375,0.8723221028645833,0.7217558186848958,,0.875,0.13095238095238096,0.708736660577617,1.794625505535455,0.9101323775085115,f_log_K,none,0.1
A,beta_good_common_T50_cap64,phi_k16,beta_good_common,A,50,64,3072,19968,same_horizon,62,51,True,0.10904947916666667,1.6253774030291126,2.6274124730827833,51,0.9860681559244793,0.1962890625,2.8308565869169766,61,0.9942539876302083,True,0.9447273763020834,0.9750030924479168,0.9689106038411458,,0.08333333333333333,0.008043514784946236,0.6097395035038745,2.342950402237195,0.7745392628205129,f_n_singletons,oof,0.1
A,beta_good_common_T50_cap64,phi_k16_all71,beta_good_common,A,50,64,3072,19968,same_horizon,71,60,True,0.6031901041666666,3.422620134002111,3.2524087062786746,60,0.9996690673828125,0.6930338541666666,3.436161493375552,70,0.9998316243489582,True,0.9466256510416666,0.9798807373046876,0.9709704996744792,0.9561695963541667,0.16666666666666666,0.009398840962441313,0.623972082473385,2.342950402237195,0.7745392628205129,f_n_singletons,oof,0.1
A,beta_good_common_T50_cap64,phi_k16_cs,beta_good_common,A,50,64,3072,19968,same_horizon,61,50,True,0.11002604166666667,1.5899098728386423,2.56011598710223,50,0.9858597819010416,0.19921875,2.7632949745730824,60,0.9937733968098957,True,0.9437131347656251,0.9762893473307293,0.964803466796875,,0.08333333333333333,0.008175375683060109,0.6193520933719868,2.342950402237195,0.7745392628205129,f_n_singletons,oof,0.1
A,beta_good_common_T50_cap64,phi_k16_quality,beta_good_common,A,50,64,3072,19968,same_horizon,35,24,True,0.16471354166666666,0.9872851107535408,1.6598478227500237,24,0.9754735107421876,0.298828125,1.9062891189862259,34,0.9910389811197918,True,0.9456401774088541,0.9754735107421876,,,0.08333333333333333,0.013364955357142856,0.7290273549530601,2.342950402237195,0.7745392628205129,f_n_singletons,oof,0.1
A,beta_good_common_T50_cap64,rule_reservoir,beta_good_common,A,50,64,3072,19968,same_horizon,7,5,True,0.490234375,0.4206490472595844,0.42361147339938315,5,0.9592893880208334,0.7841796875,0.6493274138925605,7,0.9816509195963542,True,0.9615493977864582,0.9114263916015624,0.8178576660156249,,0.4547526041666667,0.08244977678571429,0.8163646127705136,1.8672761148123345,0.7152193509615384,est_beta_a,none,0.1
A,beta_mostly_mediocre_T1000_cap64,phi_k16_all71,beta_mostly_mediocre,A,1000,64,3072,13322,same_horizon,71,60,True,0.5013020833333334,4.180084653063008,4.173685965763104,60,0.9999414876302084,0.5227864583333334,4.394006347052044,70,0.9999881184895834,True,0.9953278808593751,0.9903557942708332,0.9950780436197916,0.9094324951171875,0.9583333333333334,0.0760343309859155,0.5697237751093992,2.7783788265802722,0.9583333333333334,f_K,oof,0.1
A,beta_mostly_mediocre_T100_cap64,phi_k16_all71,beta_mostly_mediocre,A,100,64,3072,19968,same_horizon,71,60,True,0.3548177083333333,3.155575837179658,3.3671555756726588,60,0.9975819091796876,0.4430338541666667,3.5399113159539133,70,0.9982997639973957,True,0.9343778889973958,0.9411280924479166,0.9734261881510416,0.8944749348958333,0.15983072916666666,0.00574475498826291,0.5170546430408058,1.4720901597984513,0.7521534455128205,f_K_over_sqrt_t,oof,0.1
A,beta_mostly_mediocre_T200_cap64,phi_k16_all71,beta_mostly_mediocre,A,200,64,3072,18127,same_horizon,71,60,True,0.4583333333333333,3.4986717308034954,3.599019124800427,60,0.9984016927083335,0.5299479166666666,3.8094549484871836,70,0.9987850748697916,True,0.9531107584635417,0.962426025390625,0.976087646484375,0.8453311360677084,0.14127604166666666,0.019256161971830985,0.5648693418247904,1.87616165933914,0.8416284309432522,f_K_over_sqrt_t,oof,0.1
A,beta_mostly_mediocre_T200_cap64,rule_reservoir,beta_mostly_mediocre,A,200,64,3072,18127,same_horizon,7,5,True,0.1171875,0.2503568072924601,0.4506078472812906,5,0.8730541178385417,0.4768880208333333,0.6835983234229537,7,0.9582465006510416,True,0.9455574951171875,0.8569019368489583,0.6198140055338542,,0.6998697916666666,0.10737537202380952,0.6542312716348808,1.9444511862745344,0.7687594242474394,f_log_K,none,0.1
A,beta_mostly_mediocre_T500_cap64,phi_k16_all71,beta_mostly_mediocre,A,500,64,3072,15763,same_horizon,71,60,True,0.5813802083333334,4.0474424863190634,3.9158917719231416,60,0.9996114095052083,0.7060546875,4.120769094355526,70,0.9998013509114584,True,0.9859332682291666,0.98730712890625,0.9873665364583332,0.8922823486328124,0.8232421875,0.07323301789906105,0.6322142606243961,2.71855973250621,0.9132696069976632,f_K_over_sqrt_t,oof,0.1
A,beta_mostly_mediocre_T500_cap64,rule_reservoir,beta_mostly_mediocre,A,500,64,3072,15763,same_horizon,7,5,True,0.134765625,0.2761086723505098,0.5014118376227157,5,0.8973487955729166,0.2610677083333333,0.7316034848118386,7,0.9757356770833332,True,0.9728592122395834,0.8887301432291665,0.5892164306640625,,0.875,0.13169642857142858,0.6304844406076349,1.794625505535455,0.9101323775085115,f_log_K,none,0.1
A,beta_mostly_mediocre_T50_cap64,phi_k16_all71,beta_mostly_mediocre,A,50,64,3072,19968,same_horizon,71,60,True,0.5218098958333334,3.2846459088807007,3.2524087062786746,60,0.9992197672526041,0.6077473958333334,3.436161493375552,70,0.9993596598307293,True,0.9447710367838542,0.9578784179687502,0.9710279541015624,0.9501546223958334,0.17838541666666666,0.009852736208920188,0.5977393943447089,2.105844339946678,0.7689302884615384,f_K_over_sqrt_t,oof,0.1
A,beta_rare_excellent_T1000_cap64,phi_k16,beta_rare_excellent,A,1000,64,3072,13322,same_horizon,62,51,True,0.20247395833333334,2.4404687715541353,3.1988494333513655,51,0.9994171549479166,0.3203125,3.4679288116185982,61,0.9995163574218752,True,0.997714599609375,0.9961427408854167,0.999050537109375,,0.9583333333333334,0.09856980846774194,0.9259386170549883,4.893754983315829,0.9583333333333334,f_K,oof,0.1
A,beta_rare_excellent_T1000_cap64,phi_k16_all71,beta_rare_excellent,A,1000,64,3072,13322,same_horizon,71,60,True,0.6305338541666666,4.5051028461058475,4.173685965763104,60,0.9998025716145834,0.6985677083333334,4.394006347052044,70,0.9999379069010417,True,0.9973387044270833,0.9961114095052083,0.9989739583333334,0.90246875,0.9583333333333334,0.09027472124413148,0.8528429593429347,4.893754983315829,0.9583333333333334,f_K,oof,0.1
