row,policy,reference,test,horizon,delta,lo,hi,se,win,n_cells,n_episodes,n_envs,cluster_lo,cluster_hi,cluster_se,cluster_p,cluster_p_sign,cluster_boot_t_lo,cluster_boot_t_hi,cluster_pct_lo,cluster_pct_hi,cluster_min_env,cluster_max_env,cluster_degenerate,cluster_method,p_holm,mei,verdict,as_registered
primary,phi_k4,fixed_K_star,robust,all,-0.004700884899233158,-0.005444927643857663,-0.003958018753132396,0.0003781976177822697,0.513,90,45000,30,-0.006283982985623451,-0.0031177868128428638,0.0007740441727313747,1.3034269527632589e-06,,-0.006650123799345678,-0.003378633606493817,-0.0063057059187577895,-0.0033323546430572056,,,False,env_mean_t,,0.002,supported,True
secondary,phi_k4,fixed_K_star,robust,50,-0.00854291215323222,-0.010098158047313333,-0.007016754584857652,0.0007863516133311428,0.5237666666666667,30,15000,30,-0.011137663092625465,-0.005948161213838975,0.0012686843990230446,2.1758914804924315e-07,,-0.011423486110902497,-0.00617054198420363,-0.011104685234286588,-0.006202357359109446,,,False,env_mean_t,6.527674441477294e-07,0.002,,True
secondary,phi_k4,fixed_K_star,robust,100,-0.005166101358706752,-0.006743137577244392,-0.0035543419228587295,0.0008177895434734638,0.5116333333333334,30,15000,30,-0.00800473851314182,-0.0023274642042716846,0.0013879307711749294,0.0008459031315970277,,-0.008967494752617666,-0.00287246636493499,-0.008076361151719466,-0.0027234588037834827,,,False,env_mean_t,0.0016918062631940554,0.002,,True
secondary,phi_k4,fixed_K_star,robust,200,-0.0003936411857604981,-0.0006374866339564324,-0.0001535183048248291,0.00012243281960450564,0.5036,30,15000,30,-0.0007395613778016277,-4.772099371936852e-05,0.00016913513520193976,0.027130768380997823,,-0.0011990227215940602,-0.00014307138550025676,-0.0007648840962847072,-0.00012630429367224374,,,False,env_mean_t,0.027130768380997823,0.002,,True
structural,phi_k4,fixed_K_star,robust,500,-4.963318506876628e-07,-1.5388806660970051e-06,4.209955533345541e-07,4.91094987516134e-07,0.5001,30,15000,30,-1.8054515748881534e-06,8.127878735128279e-07,6.400844664246997e-07,0.4443713354092995,,-3.6433268389750104e-06,3.475588981316834e-07,-1.8691778182983399e-06,3.8018226623535157e-07,,,False,env_mean_t,,0.002,,True
structural,phi_k4,fixed_K_star,robust,1000,-2.3710330327351887e-07,-2.074226240317026e-06,1.866230567296346e-06,9.978492175807208e-07,0.5001,30,15000,30,-7.827511336078361e-07,3.085445270607984e-07,2.667904958414999e-07,0.3814637306830564,,-1.1188862558218809e-05,1.0198335903318834e-07,-7.970929145812988e-07,8.578300476074218e-08,,,False,env_mean_t,,0.002,,True
