level,split,env_id,horizon,cap,base_seed,alpha,c,b,n_envs,n_episodes,regret,regret_se,k_final,search_frac,is_argmin
env,val,beta_good_common,200,160,5007000,0.5,3.0,0.0,1,500,0.05665026915073395,0.0024145902094818658,43.0,0.20707070707070716,False
env,val,beta_good_common,200,160,5007000,0.5,4.0,0.0,1,500,0.05683507120609283,0.0022739967107503205,57.0,0.2777777777777778,False
env,val,beta_good_common,200,160,5007000,0.5,3.0,2.0,1,500,0.05337668752670288,0.0023039848115697058,37.812,0.18086868686868687,False
env,val,beta_good_common,200,160,5007000,0.5,3.0,4.0,1,500,0.05127920210361481,0.0021489539921397123,33.392,0.15854545454545457,False
env,val,beta_good_common,200,160,5007000,0.5,3.0,8.0,1,500,0.05371294069290161,0.002183005306944239,26.288,0.12266666666666667,False
env,val,beta_good_common,200,160,5007000,0.5,6.0,0.0,1,500,0.06595926213264465,0.0028054420159055716,85.0,0.4191919191919193,False
env,val,beta_good_common,200,160,5007000,0.5,3.0,6.0,1,500,0.05174305617809296,0.002113890835626895,29.488,0.13882828282828286,False
env,val,beta_good_common,200,160,5007000,0.5,4.0,2.0,1,500,0.05518877232074738,0.002257647653882517,50.1,0.24292929292929294,False
env,val,beta_good_common,200,160,5007000,0.5,4.0,4.0,1,500,0.053996206998825076,0.0022510328773960218,44.064,0.21244444444444444,False
env,val,beta_good_common,200,160,5007000,0.5,4.0,6.0,1,500,0.05096951198577881,0.002199420513661127,38.762,0.18566666666666667,False
env,val,beta_good_common,200,160,5007000,0.5,4.0,8.0,1,500,0.0521422952413559,0.002237676327060748,34.046,0.16184848484848485,False
env,val,beta_good_common,200,160,5007000,0.5,6.0,2.0,1,500,0.061311630606651304,0.0025276525746728445,74.634,0.36683838383838385,False
env,val,beta_good_common,200,160,5007000,0.5,6.0,4.0,1,500,0.060758018970489505,0.0024938690361736666,65.406,0.3202323232323232,False
env,val,beta_good_common,200,160,5007000,0.5,8.0,0.0,1,500,0.07738876366615295,0.002957226882660703,114.0,0.5656565656565657,False
env,val,beta_good_common,200,160,5007000,0.5,6.0,6.0,1,500,0.05699693131446838,0.0023485382852025567,57.122,0.27839393939393936,False
env,val,beta_good_common,200,160,5007000,0.75,1.0,0.0,1,500,0.05606836402416229,0.0022805488122893684,54.0,0.2626262626262626,False
env,val,beta_good_common,200,160,5007000,0.5,6.0,8.0,1,500,0.05440895760059357,0.0021483924595027157,50.132,0.24309090909090914,False
env,val,beta_good_common,200,160,5007000,0.5,8.0,2.0,1,500,0.07112543082237244,0.0028850839707955617,99.12,0.49050505050505044,False
env,val,beta_good_common,200,160,5007000,0.5,8.0,6.0,1,500,0.06214610779285431,0.0025022486556627145,75.702,0.3722323232323232,False
env,val,beta_good_common,200,160,5007000,0.5,8.0,4.0,1,500,0.06879212820529938,0.002853880855184261,86.514,0.42683838383838385,False
env,val,beta_good_common,200,160,5007000,0.75,1.0,2.0,1,500,0.05395638394355774,0.002323789747812875,47.158,0.22807070707070703,False
